time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db
5.8706,4,3,45.5487,-79.0585,42.1600
5.9221,2,3,10.0666,-65.9454,55.2731
5.9221,2,4,36.4797,-77.8707,43.3477
6.1706,4,2,29.2679,-75.6494,45.5691
6.1706,4,3,41.5355,-78.4706,42.7479
6.2156,2,3,13.4432,-68.5606,52.6579
6.2156,2,4,28.0113,-75.6607,45.5578
6.4706,4,2,20.7841,-72.6205,48.5980
6.4706,4,3,37.5812,-77.2255,43.9930
6.5156,2,3,17.3461,-69.9492,51.2693
6.5156,2,4,19.5525,-72.5379,48.6806
6.6193,3,2,18.8606,-71.0914,50.1271
6.6193,3,4,35.4990,-77.2592,43.9593
6.7706,4,2,12.6514,-69.7124,51.5061
6.7706,4,3,33.6785,-76.4445,44.7740
6.8206,2,3,21.4948,-72.3525,48.8660
6.8206,2,4,11.4170,-67.9565,53.2620
7.0696,4,2,6.5035,-63.6592,57.5593
7.0696,4,3,29.8658,-75.6933,45.5252
7.1206,2,3,25.7818,-73.3538,47.8646
7.1206,2,4,6.0599,-63.6850,57.5334
7.3661,4,2,8.6339,-61.3338,59.8847
7.3661,4,3,26.1810,-74.9023,46.3162
7.4206,2,3,30.1309,-74.5001,46.7183
7.4206,2,4,9.8227,-63.0583,58.1602
7.6146,3,2,33.2209,-75.4531,45.7654
7.6146,3,4,23.1506,-73.2978,47.9206
7.6661,4,2,16.1170,-69.3172,51.9013
7.6661,4,3,22.6937,-73.3235,47.8950
7.7206,2,3,34.5365,-76.1991,45.0193
7.7206,2,4,17.5989,-69.2709,51.9475
7.9661,4,2,24.4661,-72.2054,49.0131
7.9661,4,3,19.4908,-72.3583,48.8602
8.0206,2,3,38.9608,-76.8745,44.3440
8.0206,2,4,25.9955,-72.1748,49.0437
8.2701,4,2,33.1729,-74.3421,46.8764
8.2701,4,3,16.7441,-71.5161,49.7024
8.3123,2,3,43.4062,-78.2740,42.9445
8.3123,2,4,34.4317,-76.1974,45.0211
8.5701,4,2,41.8718,-77.6903,43.5282
8.5701,4,3,14.6388,-70.1465,51.0720
