time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,ndi,tbler_sci2,sci2_corrupted,rb_start,rb_end,rb_assigned,bwp_id,rv,dst_l2_id,src_l2_id
2003.4821,1,2,200,3,1,25.5182,25.5182,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,3,2,200,3,1,40.2930,40.2930,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,4,2,200,3,1,22.7750,22.7750,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,5,2,200,3,1,40.2523,40.2523,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,6,2,200,3,1,50.3730,50.3730,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,7,2,200,3,1,29.9962,29.9962,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,8,2,200,3,1,31.8897,31.8897,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,9,2,200,3,1,27.8623,27.8623,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,10,2,200,3,1,33.0955,33.0955,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.4821,11,2,200,3,1,27.3729,27.3729,14,0.0000,308,0,1,0.0000,0,30,39,10,0,0,255,2
2003.9821,1,3,200,3,3,24.1870,24.1870,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,4,3,200,3,3,25.7301,25.7301,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,5,3,200,3,3,43.5206,43.5206,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,6,3,200,3,3,23.1822,23.1822,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,7,3,200,3,3,31.8801,31.8801,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,8,3,200,3,3,33.6505,33.6505,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,9,3,200,3,3,27.8630,27.8630,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,10,3,200,3,3,28.9178,28.9178,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2003.9821,11,3,200,3,3,30.9959,30.9959,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2007.9821,2,1,200,7,3,25.5161,25.5161,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,3,1,200,7,3,24.1868,24.1868,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,4,1,200,7,3,18.1395,18.1395,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,5,1,200,7,3,25.9327,25.9327,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,6,1,200,7,3,26.3954,26.3954,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,7,1,200,7,3,31.6276,31.6276,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,8,1,200,7,3,36.0936,36.0936,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,9,1,200,7,3,35.1225,35.1225,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,10,1,200,7,3,35.4352,35.4352,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2007.9821,11,1,200,7,3,36.4557,36.4557,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,1
2009.2321,2,3,200,9,0,40.2902,40.2902,14,0.0000,308,0,0,0.0000,0,20,29,10,0,2,255,3
2015.7321,1,5,201,5,2,26.0604,26.0604,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,2,5,201,5,2,39.2023,39.2023,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,3,5,201,5,2,32.4866,32.4866,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,4,5,201,5,2,37.1237,37.1237,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,6,5,201,5,2,47.8677,47.8677,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,7,5,201,5,2,30.1846,30.1846,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,8,5,201,5,2,27.8990,27.8990,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,9,5,201,5,2,31.6332,31.6332,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,10,5,201,5,2,30.1923,30.1923,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2015.7321,11,5,201,5,2,36.4023,36.4023,14,0.0000,308,0,1,0.0000,0,0,9,10,0,0,255,5
2100.2321,1,4,210,0,0,30.8131,30.8131,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,2,4,210,0,0,23.3341,23.3341,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,3,4,210,0,0,26.9836,26.9836,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,5,4,210,0,0,34.4776,34.4776,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,6,4,210,0,0,19.0594,19.0594,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,7,4,210,0,0,31.0149,31.0149,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
2100.2321,8,4,210,0,0,29.7661,29.7661,14,0.0000,308,0,1,0.0000,0,10,19,10,0,0,255,4
