time_s,tx_id,rx_id,distance_m,rssi_dbm,snr_db
2.0036,6,2,87.1729,-95.7003,25.5182
2.0036,6,7,26.7740,-80.9255,40.2930
2.0036,6,3,56.9233,-98.4435,22.7750
2.0036,6,4,36.0072,-80.9662,40.2523
2.0036,6,5,17.0369,-70.8455,50.3730
2.0041,7,2,102.2380,-97.0315,24.1870
2.0041,7,3,79.1685,-95.4883,25.7301
2.0041,7,4,61.3222,-77.6979,43.5206
2.0041,7,5,43.7227,-98.0363,23.1822
2.0081,2,6,87.1715,-88.3153,25.5161
2.0081,2,7,102.2364,-97.0317,24.1868
2.0081,2,3,40.5028,-103.0790,18.1395
2.0081,2,4,62.6911,-95.2858,25.9327
2.0081,2,5,78.7320,-94.8231,26.3954
2.0093,7,6,26.7635,nan,40.2902
2.0158,4,2,62.7270,-95.1581,26.0604
2.0158,4,6,36.0057,-82.0161,39.2023
2.0158,4,7,61.2937,-88.7319,32.4866
2.0158,4,3,24.3030,-84.0948,37.1237
2.0158,4,5,20.4336,-73.3508,47.8677
2.1003,3,2,35.2371,-90.4054,30.8131
2.1003,3,6,61.7189,-97.8844,23.3341
2.1003,3,7,82.8598,-94.2349,26.9836
2.1003,3,4,29.8907,-86.7409,34.4776
2.1003,3,5,49.3667,-102.1591,19.0594
2.1036,6,2,87.8775,-95.2940,25.9245
2.1036,6,7,26.6935,-83.4863,37.7322
2.1036,6,3,61.8445,-97.8804,23.3380
2.1036,6,4,35.9308,-80.9378,40.2807
2.1036,6,5,17.2859,-70.6088,50.6097
2.1041,7,2,102.7456,-97.3448,23.8737
2.1041,7,3,82.9378,-94.2347,26.9838
2.1041,7,4,61.0277,-88.7591,32.4594
2.1041,7,5,43.9139,-84.7882,36.4303
2.1163,7,6,26.8597,-83.4895,37.7290
2.1636,5,2,80.5272,-79.3294,41.8890
2.1636,5,6,17.2350,-75.3397,45.8788
2.1636,5,7,43.8446,-95.8210,25.3975
2.1636,5,3,49.7572,-104.0399,17.1786
2.1636,5,4,20.8722,-69.8617,51.3568
2.2003,3,2,35.4899,-101.4107,19.8078
2.2003,3,6,61.4800,-97.8842,23.3343
2.2003,3,7,82.3390,-93.7348,27.4837
2.2003,3,4,29.5945,-82.9416,38.2769
2.2003,3,5,49.5156,-104.0456,17.1729
2.2036,6,2,88.6538,-95.0137,26.2048
2.2036,6,7,26.6391,-80.9832,40.2353
2.2036,6,3,61.6170,-97.8804,23.3380
