time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,rb_start,rb_end,rb_assigned,bwp_id,rv,priority,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,dst_l2_id
2003.2679,1,2,200,3,1,25.5182,25.5182,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,3,2,200,3,1,40.2930,40.2930,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,4,2,200,3,1,22.7750,22.7750,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,5,2,200,3,1,40.2523,40.2523,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,6,2,200,3,1,50.3730,50.3730,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,7,2,200,3,1,35.5933,35.5933,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,8,2,200,3,1,29.2617,29.2617,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,9,2,200,3,1,28.6346,28.6346,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,10,2,200,3,1,27.9078,27.9078,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.2679,11,2,200,3,1,31.6471,31.6471,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2003.7679,1,3,200,3,3,24.1870,24.1870,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,2,3,200,3,3,40.2902,40.2902,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,4,3,200,3,3,25.7301,25.7301,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,5,3,200,3,3,43.5206,43.5206,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,6,3,200,3,3,23.1822,23.1822,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,7,3,200,3,3,30.2873,30.2873,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,8,3,200,3,3,34.1360,34.1360,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,9,3,200,3,3,34.9021,34.9021,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,10,3,200,3,3,37.3213,37.3213,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2003.7679,11,3,200,3,3,33.2669,33.2669,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2007.7679,2,1,200,7,3,25.5161,25.5161,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,3,1,200,7,3,24.1868,24.1868,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,4,1,200,7,3,18.1395,18.1395,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,5,1,200,7,3,25.9327,25.9327,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,6,1,200,7,3,26.3954,26.3954,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,7,1,200,7,3,35.7972,35.7972,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,8,1,200,7,3,35.8707,35.8707,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,9,1,200,7,3,35.5269,35.5269,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,10,1,200,7,3,36.6035,36.6035,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2007.7679,11,1,200,7,3,33.3001,33.3001,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,1,2,200,8,0,25.5182,25.5182,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,3,2,200,8,0,40.2930,40.2930,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,4,2,200,8,0,22.7750,22.7750,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,5,2,200,8,0,40.2523,40.2523,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,6,2,200,8,0,50.3730,50.3730,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,7,2,200,8,0,29.9962,29.9962,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,8,2,200,8,0,31.8897,31.8897,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,9,2,200,8,0,27.8623,27.8623,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,10,2,200,8,0,33.0955,33.0955,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2008.0179,11,2,200,8,0,27.3729,27.3729,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,2,1,201,3,2,23.9983,23.9983,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,3,1,201,3,2,23.8735,23.8735,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,4,1,201,3,2,23.6724,23.6724,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,5,1,201,3,2,26.0578,26.0578,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,6,1,201,3,2,26.8842,26.8842,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,7,1,201,3,2,31.8599,31.8599,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,8,1,201,3,2,36.3324,36.3324,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,9,1,201,3,2,34.6321,34.6321,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,10,1,201,3,2,36.1007,36.1007,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2013.5179,11,1,201,3,2,37.0173,37.0173,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2015.5179,1,5,201,5,2,26.0604,26.0604,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,2,5,201,5,2,39.2023,39.2023,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,3,5,201,5,2,32.4866,32.4866,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,4,5,201,5,2,37.1237,37.1237,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,6,5,201,5,2,47.8677,47.8677,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,7,5,201,5,2,31.6421,31.6421,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,8,5,201,5,2,36.4529,36.4529,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,9,5,201,5,2,33.7320,33.7320,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,10,5,201,5,2,31.4954,31.4954,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2015.5179,11,5,201,5,2,33.0530,33.0530,0,0.0000,2,0,0,9,10,0,255,255,20,0,0,1,3,255
2016.0179,1,3,201,6,0,23.8737,23.8737,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,2,3,201,6,0,40.2902,40.2902,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,4,3,201,6,0,25.7301,25.7301,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,5,3,201,6,0,32.4697,32.4697,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,6,3,201,6,0,26.2697,26.2697,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,7,3,201,6,0,31.6460,31.6460,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,8,3,201,6,0,33.7777,33.7777,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,9,3,201,6,0,27.1307,27.1307,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,10,3,201,6,0,28.4937,28.4937,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2016.0179,11,3,201,6,0,31.6054,31.6054,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,1,5,203,0,3,26.0604,26.0604,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,2,5,203,0,3,39.2023,39.2023,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,3,5,203,0,3,32.4866,32.4866,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,4,5,203,0,3,37.1237,37.1237,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,6,5,203,0,3,47.8677,47.8677,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,7,5,203,0,3,30.4506,30.4506,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2030.7679,8,5,203,0,3,29.0993,29.0993,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
