time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,rb_start,rb_len,priority,mcs,tb_size_bytes,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,gap_retx1,gap_retx2
2807.7500,1,1,280,7,3,0,1,10,10,7,14,308,20,5,1,1,3,10,11
2809.5000,4,4,280,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
2813.5000,1,1,281,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,255
2815.5000,5,5,281,5,2,0,1,0,10,7,14,308,20,5,0,1,3,9,20
2816.0000,3,3,281,6,0,0,1,20,10,7,14,308,20,5,2,1,3,13,255
2830.7500,5,5,283,0,3,0,1,20,10,7,14,308,20,5,2,1,3,16,255
2863.2500,6,6,286,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
2869.0000,6,6,286,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
2883.7500,7,7,288,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
2888.2500,7,7,288,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
2905.5000,2,2,290,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
2913.0000,2,2,291,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
2963.2500,6,6,296,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
2969.0000,6,6,296,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
2983.7500,7,7,298,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
2988.2500,7,7,298,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
3000.0000,4,4,300,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
3007.7500,1,1,300,7,3,0,1,10,10,7,14,308,20,5,1,1,3,10,11
3009.5000,4,4,300,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
3013.5000,1,1,301,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,255
3016.0000,5,5,301,6,0,0,1,10,10,7,14,308,20,5,1,1,3,3,45
3030.2500,5,5,303,0,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
3063.2500,6,6,306,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
3069.0000,6,6,306,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
3083.7500,7,7,308,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
3088.2500,7,7,308,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
3103.7500,3,3,310,3,3,0,1,40,10,7,14,308,20,5,4,1,3,21,44
3116.0000,3,3,311,6,0,0,1,20,10,7,14,308,20,5,2,1,3,13,255
3163.2500,6,6,316,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
3169.0000,6,6,316,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
3183.7500,7,7,318,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
3188.2500,7,7,318,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
3200.0000,4,4,320,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
3205.5000,2,2,320,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3207.7500,1,1,320,7,3,0,1,10,10,7,14,308,20,5,1,1,3,10,11
3209.5000,4,4,320,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
3213.0000,2,2,321,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3213.5000,1,1,321,3,2,0,1,10,10,7,14,308,20,5,1,1,3,3,255
3216.0000,5,5,321,6,0,0,1,10,10,7,14,308,20,5,1,1,3,3,45
3230.2500,5,5,323,0,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
3283.7500,7,7,328,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
3288.2500,7,7,328,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
3316.0000,5,5,331,6,0,0,1,10,10,7,14,308,20,5,1,1,3,3,45
3330.2500,5,5,333,0,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
3363.2500,6,6,336,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
3369.0000,6,6,336,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
3400.0000,4,4,340,0,0,0,1,10,10,7,14,308,20,5,1,1,3,2,27
3404.5000,3,3,340,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
3409.5000,4,4,340,9,2,0,1,40,10,7,14,308,20,5,4,1,3,22,255
3409.7500,3,3,340,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
3416.0000,5,5,341,6,0,0,1,10,10,7,14,308,20,5,1,1,3,3,45
3416.5000,1,1,341,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
3428.7500,1,1,342,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
3430.2500,5,5,343,0,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
3504.5000,3,3,350,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
3505.5000,2,2,350,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3509.7500,3,3,350,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
3513.0000,2,2,351,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3516.0000,5,5,351,6,0,0,1,10,10,7,14,308,20,5,1,1,3,3,45
3530.2500,5,5,353,0,1,0,1,40,10,7,14,308,20,5,4,1,3,20,255
3563.2500,6,6,356,3,1,0,1,0,10,7,14,308,20,5,0,1,3,4,17
3569.0000,6,6,356,9,0,0,1,30,10,7,14,308,20,5,3,1,3,19,255
3583.7500,7,7,358,3,3,0,1,0,10,7,14,308,20,5,0,1,3,3,5
3588.2500,7,7,358,8,1,0,1,20,10,7,14,308,20,5,2,1,3,29,255
3604.5000,3,3,360,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
3605.5000,2,2,360,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3609.7500,3,3,360,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
3613.0000,2,2,361,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3616.0000,4,4,361,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
3616.2500,5,5,361,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
3616.5000,1,1,361,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
3627.5000,5,5,362,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
3627.5000,4,4,362,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
3628.7500,1,1,362,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
3704.5000,3,3,370,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
3705.5000,2,2,370,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3709.7500,3,3,370,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
3713.0000,2,2,371,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3716.2500,5,5,371,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
3727.5000,5,5,372,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
3762.7500,6,6,376,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
3769.0000,6,6,376,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
3804.5000,3,3,380,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
3805.5000,2,2,380,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3809.7500,3,3,380,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
3813.0000,2,2,381,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3816.0000,4,4,381,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
3816.2500,5,5,381,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
3816.5000,1,1,381,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
3827.5000,5,5,382,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
3827.5000,4,4,382,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
3828.7500,1,1,382,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
3880.2500,7,7,388,0,1,0,1,10,10,7,14,308,20,5,1,1,3,24,32
3895.2500,7,7,389,5,1,0,1,30,10,7,14,308,20,5,3,1,3,1,255
3905.5000,2,2,390,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
3913.0000,2,2,391,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
3916.2500,5,5,391,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
3927.5000,5,5,392,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
3962.7500,6,6,396,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
3969.0000,6,6,396,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
4005.5000,2,2,400,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
4013.0000,2,2,401,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
4016.0000,4,4,401,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
4016.5000,1,1,401,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
4027.5000,4,4,402,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
4028.7500,1,1,402,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
4104.5000,3,3,410,4,2,0,1,40,10,7,14,308,20,5,4,1,3,2,15
4105.5000,2,2,410,5,2,0,1,20,10,7,14,308,20,5,2,1,3,10,15
4109.7500,3,3,410,9,3,0,1,10,10,7,14,308,20,5,1,1,3,25,255
4113.0000,2,2,411,3,0,0,1,10,10,7,14,308,20,5,1,1,3,20,255
4116.2500,5,5,411,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
4127.5000,5,5,412,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
4162.7500,6,6,416,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
4169.0000,6,6,416,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
4180.2500,7,7,418,0,1,0,1,10,10,7,14,308,20,5,1,1,3,24,32
4195.2500,7,7,419,5,1,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4216.0000,4,4,421,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
4216.5000,1,1,421,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
4227.5000,4,4,422,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
4228.7500,1,1,422,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
4316.2500,5,5,431,6,1,0,1,30,10,7,14,308,20,5,3,1,3,29,36
4327.5000,5,5,432,7,2,0,1,40,10,7,14,308,20,5,4,1,3,30,255
4362.7500,6,6,436,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
4369.0000,6,6,436,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
4416.0000,4,4,441,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
4416.5000,1,1,441,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
4416.7500,3,3,441,6,3,0,1,40,10,7,14,308,20,5,4,1,3,22,32
4421.7500,2,2,442,1,3,0,1,30,10,7,14,308,20,5,3,1,3,2,18
4426.5000,2,2,442,6,2,0,1,20,10,7,14,308,20,5,2,1,3,38,255
4427.5000,4,4,442,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
4428.7500,1,1,442,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
4433.0000,3,3,443,3,0,0,1,0,10,7,14,308,20,5,0,1,3,13,255
4462.7500,6,6,446,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
4469.0000,6,6,446,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
4480.2500,7,7,448,0,1,0,1,10,10,7,14,308,20,5,1,1,3,24,32
4495.2500,7,7,449,5,1,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4517.5000,5,5,451,7,2,0,1,0,10,7,14,308,20,5,0,1,3,20,24
4529.5000,5,5,452,9,2,0,1,40,10,7,14,308,20,5,4,1,3,11,255
4562.7500,6,6,456,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
4569.0000,6,6,456,9,0,0,1,20,10,7,14,308,20,5,2,1,3,17,255
4580.2500,7,7,458,0,1,0,1,10,10,7,14,308,20,5,1,1,3,24,32
4595.2500,7,7,459,5,1,0,1,30,10,7,14,308,20,5,3,1,3,1,255
4616.0000,4,4,461,6,0,0,1,30,10,7,14,308,20,5,3,1,3,15,24
4616.5000,1,1,461,6,2,0,1,10,10,7,14,308,20,5,1,1,3,39,45
4627.5000,4,4,462,7,2,0,1,10,10,7,14,308,20,5,1,1,3,24,255
4628.7500,1,1,462,8,3,0,1,0,10,7,14,308,20,5,0,1,3,7,255
4662.7500,6,6,466,2,3,0,1,20,10,7,14,308,20,5,2,1,3,19,23
