case_id,rx_drop_prob_cam,run_dir
drop_0p0,0.0,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p0
drop_0p4,0.4,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p4
drop_0p8,0.8,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-18/eva-loss-sweep-1550/drop_0p8
