time_ms,imsi,rnti,frame,subframe,slot,sym_start,sym_len,subchannel_size,rb_start,rb_len,harq_id,ndi,rv,src_l2_id,dst_l2_id,csi_req,cast_type,resource_reselection_counter,c_reselection_counter
2006.5000,1,1,200,6,2,1,12,10,20,10,0,1,0,1,255,0,0,66,660
2015.5000,1,1,201,5,2,1,12,10,30,10,0,0,2,1,255,0,0,66,660
2016.2500,1,1,201,6,1,1,12,10,40,10,0,0,3,1,255,0,0,66,660
2018.2500,1,1,201,8,1,1,12,10,30,10,0,0,1,1,255,0,0,66,660
2022.2500,1,1,202,2,1,1,12,10,10,10,0,0,0,1,255,0,0,65,659
2106.5000,2,2,210,6,2,1,12,10,20,10,0,1,0,2,255,0,0,64,640
2110.5000,2,2,211,0,2,1,12,10,20,10,0,0,2,2,255,0,0,64,640
2112.5000,2,2,211,2,2,1,12,10,40,10,0,0,3,2,255,0,0,64,640
2114.5000,2,2,211,4,2,1,12,10,10,10,0,0,1,2,255,0,0,64,640
2119.0000,2,2,211,9,0,1,12,10,10,10,0,0,0,2,255,0,0,63,639
2160.0000,3,3,216,0,0,1,12,10,40,10,0,1,0,3,255,0,0,65,650
2161.2500,3,3,216,1,1,1,12,10,10,10,0,0,2,3,255,0,0,65,650
2167.7500,3,3,216,7,3,1,12,10,0,10,0,0,3,3,255,0,0,65,650
2170.0000,3,3,217,0,0,1,12,10,10,10,0,0,1,3,255,0,0,65,650
2172.5000,3,3,217,2,2,1,12,10,30,10,0,0,0,3,255,0,0,64,649
2306.5000,2,2,230,6,2,1,12,10,20,10,2,1,0,2,255,0,0,54,630
2306.5000,1,1,230,6,2,1,12,10,20,10,3,1,0,1,255,0,0,51,645
2310.5000,2,2,231,0,2,1,12,10,20,10,2,0,2,2,255,0,0,54,630
2312.5000,2,2,231,2,2,1,12,10,40,10,2,0,3,2,255,0,0,54,630
2314.5000,2,2,231,4,2,1,12,10,10,10,2,0,1,2,255,0,0,54,630
2315.5000,1,1,231,5,2,1,12,10,30,10,3,0,2,1,255,0,0,51,645
2316.2500,1,1,231,6,1,1,12,10,40,10,3,0,3,1,255,0,0,51,645
2318.2500,1,1,231,8,1,1,12,10,30,10,3,0,1,1,255,0,0,51,645
2319.0000,2,2,231,9,0,1,12,10,10,10,2,0,0,2,255,0,0,53,629
2322.2500,1,1,232,2,1,1,12,10,10,10,3,0,0,1,255,0,0,50,644
2406.5000,2,2,240,6,2,1,12,10,20,10,3,1,0,2,255,0,0,49,625
2410.5000,2,2,241,0,2,1,12,10,20,10,3,0,2,2,255,0,0,49,625
2412.5000,2,2,241,2,2,1,12,10,40,10,3,0,3,2,255,0,0,49,625
2414.5000,2,2,241,4,2,1,12,10,10,10,3,0,1,2,255,0,0,49,625
2419.0000,2,2,241,9,0,1,12,10,10,10,3,0,0,2,255,0,0,48,624
2460.0000,3,3,246,0,0,1,12,10,40,10,3,1,0,3,255,0,0,50,635
2461.2500,3,3,246,1,1,1,12,10,10,10,3,0,2,3,255,0,0,50,635
2467.7500,3,3,246,7,3,1,12,10,0,10,3,0,3,3,255,0,0,50,635
2470.0000,3,3,247,0,0,1,12,10,10,10,3,0,1,3,255,0,0,50,635
2472.5000,3,3,247,2,2,1,12,10,30,10,3,0,0,3,255,0,0,49,634
2506.5000,2,2,250,6,2,1,12,10,20,10,0,1,0,2,255,0,0,44,620
2510.5000,2,2,251,0,2,1,12,10,20,10,0,0,2,2,255,0,0,44,620
2512.5000,2,2,251,2,2,1,12,10,40,10,0,0,3,2,255,0,0,44,620
2514.5000,2,2,251,4,2,1,12,10,10,10,0,0,1,2,255,0,0,44,620
2519.0000,2,2,251,9,0,1,12,10,10,10,0,0,0,2,255,0,0,43,619
2606.5000,2,2,260,6,2,1,12,10,20,10,1,1,0,2,255,0,0,39,615
