time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,rb_start,rb_end,rb_assigned,bwp_id,rv,priority,reservation_period_ms,total_subchannels,start_subchannel,length_subchannel,max_num_per_reserve,dst_l2_id
2006.5179,2,1,200,6,2,33.3288,33.3288,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2006.5179,3,1,200,6,2,32.7470,32.7470,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2018.2679,2,1,201,8,1,33.3288,33.3288,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2018.2679,3,1,201,8,1,32.8430,32.8430,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2106.5179,1,2,210,6,2,33.3286,33.3286,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2106.5179,3,2,210,6,2,37.3290,37.3290,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2114.5179,1,2,211,4,2,33.3286,33.3286,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2114.5179,3,2,211,4,2,37.3290,37.3290,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2160.0179,1,3,216,0,0,33.4484,33.4484,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2160.0179,2,3,216,0,0,37.3024,37.3024,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2170.0179,1,3,217,0,0,33.4484,33.4484,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2170.0179,2,3,217,0,0,37.3024,37.3024,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2306.5179,3,2,230,6,2,4.3063,4.3063,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2306.5179,3,1,230,6,2,-4.3092,-4.3092,0,0.0721,2,1,20,29,10,0,255,255,20,0,2,1,3,255
2314.5179,1,2,231,4,2,34.3422,34.3422,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2314.5179,3,2,231,4,2,37.4320,37.4320,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2318.2679,2,1,231,8,1,34.3423,34.3423,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2318.2679,3,1,231,8,1,33.1236,33.1236,0,0.0000,2,0,30,39,10,0,255,255,20,0,3,1,3,255
2406.5179,1,2,240,6,2,35.4115,35.4115,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2406.5179,3,2,240,6,2,37.4047,37.4047,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2414.5179,1,2,241,4,2,35.4115,35.4115,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2414.5179,3,2,241,4,2,37.4047,37.4047,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2460.0179,1,3,246,0,0,33.3143,33.3143,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2460.0179,2,3,246,0,0,37.4047,37.4047,0,0.0000,2,0,40,49,10,0,255,255,20,0,4,1,3,255
2470.0179,1,3,247,0,0,33.4124,33.4124,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2470.0179,2,3,247,0,0,37.5363,37.5363,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2506.5179,1,2,250,6,2,35.4115,35.4115,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2506.5179,3,2,250,6,2,37.5363,37.5363,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2514.5179,1,2,251,4,2,35.4115,35.4115,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2514.5179,3,2,251,4,2,37.5363,37.5363,0,0.0000,2,0,10,19,10,0,255,255,20,0,1,1,3,255
2606.5179,3,2,260,6,2,3.9237,3.9237,0,0.0000,2,0,20,29,10,0,255,255,20,0,2,1,3,255
2606.5179,3,1,260,6,2,-3.9264,-3.9264,0,0.0262,2,1,20,29,10,0,255,255,20,0,2,1,3,255
