time_s,vehicle_id,event_type,source_id,distance_m,heading_diff_deg,lane_before,lane_after,target_speed_mps
5.01858,veh6,cam_reaction,2,103.013,80.5462,0,1,21
23.0141,veh6,cam_reaction,2,7.38051,0,0,1,21
25.6993,veh6,cam_reaction,2,21.0676,0,1,1,3
26.1993,veh6,cam_reaction,2,27.7225,0,1,1,3
