node_id,prr,latency(ms)
0,0.839615,0.478341
1,0.844189,0.640674
2,0.795303,0.497882
3,0.935232,0.472128
4,1,0.43961
5,1,0.519844
6,1,0.469169
7,1,0.474104
8,1,0.490655
9,0.788732,0.435862
