tx_id,rx_id,distance,rssi,snr
9,1,244.488,-109.957,11.2616
9,2,8.40157,-97.5558,23.6627
9,4,83.9948,-101.182,20.0368
9,6,22.1503,-92.2357,28.9828
9,10,87.3725,-102.901,18.3173
9,11,100.17,-107.549,13.6693
9,12,15.8375,-90.4228,30.7957
12,1,229.405,-111.895,9.3235
12,2,22.2508,-90.7067,30.5118
12,4,80.9095,-111.37,12.4813
12,5,94.8402,-103.926,17.2927
12,6,6.49815,-78.6898,42.5287
12,7,235.926,-110.267,10.951
12,9,15.8308,-90.4228,30.7957
12,11,94.6234,-113.54,9.63616
12,8,250.773,nan,3.41603
8,1,94.8586,-101.705,19.5133
8,3,6.50957,-82.8411,38.3774
8,5,229.412,-114.263,6.95511
8,6,244.621,-114.756,7.5136
8,7,94.6326,-102.266,18.9526
8,10,245.372,-123.992,9.9017
9,3,260.456,nan,0.441296
8,12,250.769,nan,3.41603
12,3,244.667,-118.725,-0.732858
2,1,251.619,-110.829,10.3897
2,4,79.5217,-100.728,20.491
2,5,98.654,-103.463,17.7551
2,6,29.2324,-93.2389,27.9796
2,9,8.66582,-97.8078,23.4106
2,10,83.428,-109.508,11.7103
2,11,96.9065,-103.919,17.2994
2,12,22.502,-90.8009,30.4175
1,2,251.667,-110.829,10.39
1,3,94.6249,-106.207,15.0111
1,7,6.76725,-81.9696,39.2489
1,8,94.8635,-101.707,19.5117
1,9,244.237,-109.946,11.2724
1,12,229.11,-111.882,9.3367
5,2,98.6474,-103.463,17.755
5,4,26.1388,-102.435,18.7836
5,6,94.633,-104.878,16.3407
5,8,229.207,-114.253,6.96543
5,10,20.1503,-99.0516,22.1669
5,11,6.60487,-80.108,41.1105
5,12,94.8646,-103.928,17.2909
3,1,94.6324,-106.207,15.0111
3,7,94.8709,-107.739,13.4792
3,8,6.68023,-83.1482,38.0703
2,8,271.872,-125.511,-0.0432178
4,10,5.94264,-95.4587,14.8817
4,11,21.0547,-92.9001,10.937
6,2,29.2806,-93.275,26.0753
6,4,82.3002,-100.435,19.3059
6,5,94.6221,-104.878,13.3591
6,9,22.4111,-92.3651,25.6131
6,10,84.4144,-101.646,19.5338
6,11,94.8588,-102.173,14.7948
6,12,6.72006,-79.0794,37.9781
5,3,222.471,-123.481,-2.22196
5,9,101.394,-119.255,0.763065
4,2,79.5041,-100.721,20.4978
4,5,26.143,-102.435,18.7836
4,6,82.345,-100.435,20.7833
4,7,265.521,-122.682,6.99351
4,8,250.364,-116.724,4.61652
4,9,83.8823,-101.166,20.0526
4,12,80.8447,-110.78,12.8685
3,9,260.293,-120.768,0.450719
3,12,244.458,-118.713,2.50507
1,6,222.26,-119.283,-0.105959
6,7,229.151,-111.389,9.82918
9,1,243.286,-109.914,11.3045
9,2,9.62347,-98.7361,22.4824
9,4,83.3517,-101.115,20.1035
9,6,23.572,-92.7753,28.4432
9,10,87.2199,-102.886,18.3324
9,11,100.127,-107.545,13.673
9,12,16.0879,-90.5578,30.6607
12,1,227.918,-111.838,9.38001
12,2,23.5759,-91.2092,30.0093
12,5,94.9233,-103.934,17.2848
12,6,7.67867,-80.1404,41.0781
12,7,235.62,-110.256,10.9623
12,9,16.0789,-90.5578,30.6607
8,1,94.9459,-101.713,19.505
8,3,7.67521,-84.2635,36.955
8,5,227.948,-114.207,7.01102
8,6,243.23,-118.09,9.38456
8,7,94.6301,-102.266,18.9526
8,10,245.332,-116.858,7.8095
12,3,243.295,-118.676,-0.703677
12,8,250.484,-117.792,2.62765
2,1,251.473,-110.824,10.3947
2,4,78.2414,-100.587,20.6319
2,5,98.6944,-103.467,17.751
2,6,31.7799,-93.9652,27.2533
2,9,9.88115,-98.9504,22.2681
2,10,82.7542,-109.438,11.7805
2,11,96.4823,-103.881,17.3372
