time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.1208,veh4,CAM,3,37.3726,nan,nan,-83.8459,120.0000,81.5288,1
2.2981,veh4,CAM,2,33.1446,nan,nan,-88.0739,120.0000,131.4450,1
2.3208,veh4,CAM,3,37.3463,nan,nan,-83.8722,120.0000,80.6707,1
2.4208,veh4,CAM,3,37.4860,nan,nan,-83.7325,120.0000,80.2415,1
2.5208,veh4,CAM,3,37.4563,nan,nan,-83.7622,120.0000,79.8095,1
2.5981,veh4,CAM,2,33.4817,nan,nan,-87.7368,120.0000,125.4341,1
2.6208,veh4,CAM,3,37.5988,nan,nan,-83.6197,120.0000,79.3641,1
2.7208,veh4,CAM,3,37.5988,nan,nan,-83.6197,120.0000,78.9273,1
2.8208,veh4,CAM,3,37.5733,nan,nan,-83.6452,120.0000,78.4779,1
2.9143,veh4,CAM,2,33.9396,nan,nan,-87.2788,120.0000,119.1474,1
2.9208,veh4,CAM,3,37.7165,nan,nan,-83.5020,120.0000,78.0389,1
3.0208,veh4,CAM,3,37.7165,nan,nan,-83.5020,120.0000,77.5885,1
3.1208,veh4,CAM,3,37.8467,nan,nan,-83.3718,120.0000,77.1398,1
3.2143,veh4,CAM,2,34.3032,nan,nan,-86.9152,120.0000,113.2148,1
3.2208,veh4,CAM,3,37.8348,nan,nan,-83.3837,120.0000,76.6940,1
3.3208,veh4,CAM,3,37.8348,nan,nan,-83.3837,120.0000,76.2527,1
3.4208,veh4,CAM,3,37.9659,nan,nan,-83.2526,120.0000,75.8170,1
3.5143,veh4,CAM,2,34.9605,nan,nan,-86.2580,120.0000,107.3143,1
3.5186,veh4,CAM,3,37.9659,nan,nan,-83.2526,120.0000,75.3893,1
3.6186,veh4,CAM,3,38.0821,nan,nan,-83.1364,120.0000,74.9606,1
3.7186,veh4,CAM,3,38.0821,nan,nan,-83.1364,120.0000,74.5548,1
3.7961,veh4,CAM,2,35.3674,nan,nan,-85.8511,120.0000,101.5156,1
3.8186,veh4,CAM,3,38.0870,nan,nan,-83.1315,120.0000,73.4495,1
3.9186,veh4,CAM,3,38.0870,nan,nan,-83.1315,120.0000,72.0859,1
4.0186,veh4,CAM,3,38.5081,nan,nan,-82.7104,120.0000,70.7245,1
4.0961,veh4,CAM,2,36.0116,nan,nan,-85.2069,120.0000,93.1024,1
4.1186,veh4,CAM,3,38.5081,nan,nan,-82.7104,120.0000,69.3747,1
4.2186,veh4,CAM,3,38.9272,nan,nan,-82.2913,120.0000,68.0140,1
4.4103,veh4,CAM,2,36.6762,nan,nan,-84.5423,120.0000,83.9933,1
4.7103,veh4,CAM,2,38.1061,nan,nan,-83.1124,120.0000,75.5990,1
5.0136,veh4,CAM,2,38.9535,nan,nan,-82.2650,120.0000,66.2744,1
5.2338,veh4,CAM,3,40.8551,nan,nan,-80.3634,120.0000,54.4781,1
5.3136,veh4,CAM,2,40.4256,nan,nan,-80.7929,120.0000,56.7743,1
5.6136,veh4,CAM,2,41.5696,nan,nan,-79.6488,120.0000,47.2115,1
5.9136,veh4,CAM,2,43.4500,nan,nan,-77.7685,120.0000,37.6551,1
6.2046,veh4,CAM,2,46.1277,nan,nan,-75.0907,120.0000,29.0103,1
6.2231,veh4,CAM,3,43.3344,nan,nan,-77.8841,120.0000,41.0021,1
6.3231,veh4,CAM,3,43.3344,nan,nan,-77.8841,120.0000,39.6624,1
6.4231,veh4,CAM,3,43.3344,nan,nan,-77.8841,120.0000,38.3268,1
6.5046,veh4,CAM,2,48.5615,nan,nan,-72.6569,120.0000,20.5339,1
6.5231,veh4,CAM,3,44.0442,nan,nan,-77.1743,120.0000,37.0139,1
6.6221,veh4,CAM,3,44.0442,nan,nan,-77.1743,120.0000,35.7001,1
6.7221,veh4,CAM,3,44.8321,nan,nan,-76.3864,120.0000,34.3964,1
6.8046,veh4,CAM,2,51.7595,nan,nan,-69.4590,120.0000,12.4337,1
6.8221,veh4,CAM,3,44.8321,nan,nan,-76.3864,120.0000,33.1086,1
6.9221,veh4,CAM,3,44.8321,nan,nan,-76.3864,120.0000,31.8330,1
7.0221,veh4,CAM,3,45.6078,nan,nan,-75.6107,120.0000,30.5688,1
7.1006,veh4,CAM,2,58.8229,nan,nan,-62.3956,120.0000,6.3565,1
7.1221,veh4,CAM,3,45.6078,nan,nan,-75.6107,120.0000,29.3180,1
7.4006,veh4,CAM,2,58.5634,nan,nan,-62.6551,120.0000,8.9015,1
7.7006,veh4,CAM,2,51.6124,nan,nan,-69.6061,120.0000,16.4613,1
8.0006,veh4,CAM,2,48.4641,nan,nan,-72.7544,120.0000,24.8139,1
8.1203,veh4,CAM,3,49.6407,nan,nan,-71.5778,120.0000,18.1125,1
8.2978,veh4,CAM,2,46.1691,nan,nan,-75.0494,120.0000,32.6733,1
8.5978,veh4,CAM,2,44.2293,nan,nan,-76.9891,120.0000,41.3506,1
8.9098,veh4,CAM,2,41.4897,nan,nan,-79.7288,120.0000,51.4156,1
9.1218,veh4,CAM,3,53.2101,nan,nan,-68.0084,120.0000,12.5507,1
