time_s,cam_drop_app_events,cam_rx_ok_events,cam_drop_ratio,control_actions_per_s,min_gap_m,min_ttc_s,collisions_per_s,collisions_cum,case
22,360.0,85.0,0.8089887640449438,0.0,15.319999999999991,5.934293429342935,0.0,0.0,drop0p8
23,491.0,119.0,0.8049180327868852,0.0,16.27,5.899099099099101,0.0,0.0,drop0p8
24,436.0,99.0,0.8149532710280374,1.0,17.36,5.900439238653001,0.0,0.0,drop0p8
25,389.0,104.0,0.7890466531440162,0.0,18.99,4.896046852122987,0.0,0.0,drop0p8
26,475.0,107.0,0.8161512027491409,0.0,18.0,3.893118594436311,0.0,0.0,drop0p8
27,496.0,111.0,0.8171334431630972,0.0,19.340000000000003,2.892961876832844,0.0,0.0,drop0p8
28,481.0,100.0,0.8278829604130808,0.0,13.669999999999996,2.56661786237189,0.0,0.0,drop0p8
29,394.0,97.0,0.8024439918533605,0.0,12.029999999999994,2.954446854663772,0.0,0.0,drop0p8
30,489.0,97.0,0.8344709897610921,0.0,23.51,1507.4999999999654,0.0,0.0,drop0p8
31,529.0,153.0,0.7756598240469208,0.0,24.9,10.249671484888305,0.0,0.0,drop0p8
32,412.0,118.0,0.7773584905660378,0.0,26.29,10.831460674157304,0.0,0.0,drop0p8
33,469.0,114.0,0.8044596912521441,2.0,27.68,17.182692307692303,0.0,0.0,drop0p8
34,482.0,107.0,0.8183361629881154,1.0,29.070000000000007,25.83597122302158,0.0,0.0,drop0p8
35,477.0,135.0,0.7794117647058824,0.0,30.149999999999977,24.83741007194245,0.0,0.0,drop0p8
36,513.0,137.0,0.7892307692307692,0.0,30.149999999999977,23.83189655172413,0.0,0.0,drop0p8
37,531.0,133.0,0.7996987951807228,0.0,33.24000000000001,16.417956656346753,0.0,0.0,drop0p8
38,503.0,126.0,0.7996820349761526,0.0,34.629999999999995,8.38599348534202,0.0,0.0,drop0p8
39,419.0,115.0,0.7846441947565543,0.0,36.02000000000001,5.282451923076923,0.0,0.0,drop0p8
