case,run_dir,total_cam_drop_events,total_cam_rx_ok_events,overall_cam_drop_ratio,total_control_actions,first_control_action_s,p90_control_action_s,min_gap_m,min_ttc_s,risky_gap_events,risky_ttc_events,collisions_count,avg_prr,avg_latency_ms,incident_time_s,incident_duration_s
baseline,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-phy-baseline-quick,0.0,1583.0,0.0,0.0,,,6.01,8.473,0.0,0.0,0.0,0.534884,8.89407,,
phy80,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-phy-lossy-quick2,1261.0,322.0,0.7965887555274794,0.0,,,6.01,8.473,0.0,0.0,0.0,0.0984496,8.36758,,
