run_id,tech,sent,received,prr
txPower_-10,nrv2x,22992,6573,0.2858820459290188
txPower_-20,nrv2x,26571,2051,0.07718941703360807
txPower_0,nrv2x,22976,15913,0.692592270194986
txPower_10,nrv2x,22976,20532,0.8936281337047354
txPower_14,nrv2x,22976,21170,0.9213962395543176
txPower_18,nrv2x,22976,21412,0.9319289693593314
txPower_23,nrv2x,22976,21550,0.9379352367688022
txPower_6,nrv2x,22976,19300,0.8400069637883009
