run_id,tech,vehicle_id,timestamp_ms,lat,lon,heading_deg,speed_mps,accel_mps2,source_camId,message_id,t_s
txPower_-10,nrv2x,3,2006.0,45.0523,7.65783,270.0,6.19,2.1,3,2,0.0
txPower_-10,nrv2x,3,2206.0,45.0523,7.65782,270.0,6.79,2.3,3,2,0.2
txPower_-10,nrv2x,3,2406.0,45.0523,7.6578,270.0,6.93,1.0,3,2,0.4
txPower_-10,nrv2x,3,2606.0,45.0523,7.65778,270.0,6.92,0.5,3,2,0.6
txPower_-10,nrv2x,3,2806.0,45.0523,7.65776,270.0,6.92,-0.1,3,2,0.8
txPower_-10,nrv2x,14,3129.0,45.0523,7.6579,270.0,1.97,3.2,14,2,0.4
txPower_-10,nrv2x,13,3274.0,45.0532,7.65788,270.0,2.33,3.0,13,2,0.0
txPower_-10,nrv2x,3,3406.0,45.0523,7.65771,270.0,6.93,0.0,3,2,1.4
txPower_-10,nrv2x,13,3474.0,45.0532,7.65787,270.0,3.0,3.7,13,2,0.2
txPower_-10,nrv2x,14,3529.0,45.0523,7.65789,270.0,3.31,2.6,14,2,0.8
txPower_-10,nrv2x,13,3674.0,45.0532,7.65787,270.0,3.61,2.7,13,2,0.4
txPower_-10,nrv2x,13,3874.0,45.0532,7.65786,270.0,4.2,3.2,13,2,0.6
txPower_-10,nrv2x,3,4006.0,45.0523,7.65766,270.0,6.93,-0.1,3,2,2.0
txPower_-10,nrv2x,14,3929.0,45.0523,7.65787,270.0,4.46,3.8,14,2,1.2
txPower_-10,nrv2x,13,4074.0,45.0532,7.65784,270.0,4.8,2.4,13,2,0.8
txPower_-10,nrv2x,14,4129.0,45.0523,7.65786,270.0,5.04,2.9,14,2,1.4
txPower_-10,nrv2x,13,4274.0,45.0532,7.65783,270.0,5.43,3.8,13,2,1.0
txPower_-10,nrv2x,13,4474.0,45.0532,7.65782,270.0,6.02,3.1,13,2,1.2
txPower_-10,nrv2x,3,4606.0,45.0523,7.65761,270.0,6.93,0.6,3,2,2.6
txPower_-10,nrv2x,19,4625.0,45.0532,7.65789,270.0,0.47,3.9,19,2,0.0
txPower_-10,nrv2x,13,4674.0,45.0532,7.6578,270.0,6.64,3.0,13,2,1.4
txPower_-10,nrv2x,19,4825.0,45.0532,7.65789,270.0,1.23,3.3,19,2,0.2
