run_id,tech,vehicle_id,msg_seq,tx_t_s,rx_t_s,rx_ok,msg_type,tx_id,rx_id,cam_gdt_ms
txPower_-10,nrv2x,veh1,494,0.494844,,0,CAM,1,,494
txPower_-10,nrv2x,veh1,694,0.694844,,0,CAM,1,,694
txPower_-10,nrv2x,veh1,894,0.894844,,0,CAM,1,,894
txPower_-10,nrv2x,veh1,1094,1.09484,,0,CAM,1,,1094
txPower_-10,nrv2x,veh1,1294,1.29484,,0,CAM,1,,1294
txPower_-10,nrv2x,veh1,1494,1.49484,,0,CAM,1,,1494
txPower_-10,nrv2x,veh1,1694,1.69484,,0,CAM,1,,1694
txPower_-10,nrv2x,veh1,1894,1.89484,,0,CAM,1,,1894
txPower_-10,nrv2x,veh1,2006,,2.01858,1,CAM,3,1.0,2006
txPower_-10,nrv2x,veh1,2094,2.09484,,0,CAM,1,,2094
txPower_-10,nrv2x,veh1,2206,,2.22083,1,CAM,3,1.0,2206
txPower_-10,nrv2x,veh1,2294,2.29484,,0,CAM,1,,2294
txPower_-10,nrv2x,veh1,2406,,2.42083,1,CAM,3,1.0,2406
txPower_-10,nrv2x,veh1,2494,2.49484,,0,CAM,1,,2494
txPower_-10,nrv2x,veh1,2606,,2.62083,1,CAM,3,1.0,2606
txPower_-10,nrv2x,veh1,2694,2.69484,,0,CAM,1,,2694
txPower_-10,nrv2x,veh1,2806,,2.93108,1,CAM,3,1.0,2806
txPower_-10,nrv2x,veh1,3129,,3.15158,1,CAM,14,1.0,3129
txPower_-10,nrv2x,veh1,3274,,3.28258,1,CAM,13,1.0,3274
txPower_-10,nrv2x,veh1,3294,3.29484,,0,CAM,1,,3294
txPower_-10,nrv2x,veh1,3406,,3.43108,1,CAM,3,1.0,3406
txPower_-10,nrv2x,veh1,3474,,3.48258,1,CAM,13,1.0,3474
txPower_-10,nrv2x,veh1,3529,,3.65158,1,CAM,14,1.0,3529
txPower_-10,nrv2x,veh1,3674,,3.68258,1,CAM,13,1.0,3674
txPower_-10,nrv2x,veh1,3874,,3.88258,1,CAM,13,1.0,3874
