run_id,tech,vehicle_id,aoi_mean_s,aoi_p95_s,aoi_max_s
txPower_-10,nrv2x,1.0,0.06969055,0.19975249999999994,0.3102499999999999
txPower_-10,nrv2x,2.0,0.06947324189526184,0.212019999999999,0.7255000000000003
txPower_-10,nrv2x,3.0,0.08030410404624279,0.20000000000000018,0.32700000000000173
txPower_-10,nrv2x,4.0,0.055274841269841266,0.1652650000000009,0.3977000000000004
txPower_-10,nrv2x,5.0,0.05623034343434343,0.1560099999999993,0.23899999999999988
txPower_-10,nrv2x,6.0,0.0573225720164609,0.14900000000000002,0.2397999999999989
txPower_-10,nrv2x,8.0,0.13734246305418718,0.4009499999999999,0.6080000000000005
txPower_-10,nrv2x,9.0,0.05421054474708171,0.1412350000000006,0.4562999999999988
txPower_-10,nrv2x,10.0,0.05246456603773585,0.1577850000000002,0.583499999999999
txPower_-10,nrv2x,11.0,0.06682618705035971,0.16964000000000218,0.3083000000000027
txPower_-10,nrv2x,12.0,0.05224056285178237,0.14610000000000087,0.24929999999999808
txPower_-10,nrv2x,13.0,0.1284408530805687,0.32252499999999973,0.6000000000000001
txPower_-10,nrv2x,14.0,0.13050464114832536,0.3638999999999987,0.6000000000000014
txPower_-10,nrv2x,16.0,0.07787562857142857,0.2676049999999988,0.6108000000000011
txPower_-10,nrv2x,17.0,0.05701371991247265,0.16010000000000027,0.4577999999999989
txPower_-10,nrv2x,18.0,0.09321859712230215,0.2072999999999999,0.4269999999999996
txPower_-10,nrv2x,19.0,0.1143413063063063,0.31702499999999983,0.5180000000000007
txPower_-20,nrv2x,1.0,0.1822946575342466,0.5947749999999985,0.7133000000000003
txPower_-20,nrv2x,2.0,0.24578991071428571,0.6905499999999979,3.7937700000000003
txPower_-20,nrv2x,3.0,0.25223077669902916,0.5817799999999997,4.2073
txPower_-20,nrv2x,4.0,0.17841867549668874,0.4516000000000009,4.052200000000003
txPower_-20,nrv2x,5.0,0.3068606976744186,0.5007500000000003,8.374200000000002
txPower_-20,nrv2x,6.0,0.22680706422018349,0.6000000000000002,0.620000000000001
txPower_-20,nrv2x,8.0,0.4571511475409836,1.1493000000000002,6.650300000000001
txPower_-20,nrv2x,9.0,0.22845102564102565,0.3268659999999993,4.618500000000001
txPower_-20,nrv2x,10.0,0.14187637755102042,0.3000000000000007,3.5853
txPower_-20,nrv2x,11.0,0.15108978260869566,0.2944750000000008,0.900500000000001
txPower_-20,nrv2x,12.0,0.21763616,0.5,1.5977999999999994
txPower_-20,nrv2x,13.0,0.43449225806451613,0.6000190000000007,5.276499999999999
txPower_-20,nrv2x,14.0,0.42616359375,0.6092199999999997,5.528500000000001
txPower_-20,nrv2x,15.0,0.28887244444444443,0.6099459999999998,3.4177
txPower_-20,nrv2x,16.0,0.19085868217054264,0.6048400000000008,2.3877000000000024
txPower_-20,nrv2x,17.0,0.22005358974358974,0.5032000000000003,1.0992699999999989
txPower_-20,nrv2x,18.0,0.30861928571428576,0.6000000000000004,9.0842
