run_id,tech,vehicle_id,min_speed,max_decel,time_to_first_brake,max_abs_jerk,mean_abs_jerk,path_length_m,stop_count
txPower_18,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641582,186.96094823369145,0
txPower_18,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.24477903490214,0
txPower_18,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_18,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428575,273.1426758723617,0
txPower_18,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.077726326889,0
txPower_18,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.034037558685443,193.80243105495964,0
txPower_18,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.3922159623879,0
txPower_18,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_18,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112433,624.1479792484886,0
txPower_18,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020402,189.31726781721053,0
txPower_18,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_18,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.908450704225359,223.0962575562033,0
txPower_18,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_18,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.3661028530353,0
txPower_18,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800874,203.4143501262035,0
txPower_23,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_23,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_23,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641582,186.96094823369145,0
txPower_23,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.2447790349021,0
txPower_23,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_23,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428575,273.1426758723617,0
txPower_23,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.077726326889,0
txPower_23,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.034037558685443,193.80243105495964,0
txPower_23,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.3922159623879,0
txPower_23,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_23,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112433,624.1479792484886,0
txPower_23,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020402,189.31726781721053,0
txPower_23,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_23,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.908450704225359,223.0962575562033,0
txPower_23,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_23,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.3661028530353,0
txPower_23,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800874,203.4143501262035,0
txPower_6,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_6,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_6,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641582,186.96094823369143,0
txPower_6,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.24477903490208,0
txPower_6,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_6,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428584,273.1426758723617,0
txPower_6,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.077726326889,0
txPower_6,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.034037558685443,193.80243105495964,0
txPower_6,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.3922159623879,0
txPower_6,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_6,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112433,624.1479792484885,0
txPower_6,nrv2x,3,6.19,-1.7,,6.499999999999999,1.469387755102041,189.31726781721053,0
txPower_6,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_6,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.908450704225359,223.0962575562033,0
txPower_6,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_6,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.3661028530352,0
txPower_6,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800875,203.4143501262035,0
