run_id,tech,vehicle_id,min_speed,max_decel,time_to_first_brake,max_abs_jerk,mean_abs_jerk,path_length_m,stop_count
txPower_-10,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444449,195.60834945944504,0
txPower_-10,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_-10,nrv2x,11,3.38,-9.9,5.1,103.99999999999945,5.238095238095231,187.74649843639418,0
txPower_-10,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.24477903490208,0
txPower_-10,nrv2x,13,2.33,-1.6,,28.000000000000597,4.286635220125792,367.81875408257815,0
txPower_-10,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428584,273.1426758723617,0
txPower_-10,nrv2x,16,1.11,-1.7,,26.50000000000001,4.739309288071668,281.56206970251344,0
txPower_-10,nrv2x,17,1.67,-9.9,3.6,86.99999999999955,5.132629107981218,193.80243105495967,0
txPower_-10,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.3922159623879,0
txPower_-10,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_-10,nrv2x,2,6.64,-6.0,5.9,55.0000000000002,6.886587771203165,623.6468015546702,0
txPower_-10,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020404,189.31726781721053,0
txPower_-10,nrv2x,4,5.53,-1.6,,20.00000000000007,3.9365384615384635,165.23733057953737,0
txPower_-10,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.904929577464794,223.881807758906,0
txPower_-10,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.23489811229936,0
txPower_-10,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.3661028530352,0
txPower_-10,nrv2x,9,0.89,-1.9,,27.0000000000001,4.3041310541310525,206.09601450488117,0
txPower_-20,nrv2x,1,6.92,-1.8,,4.9999999999999885,1.4015151515151514,191.6806671239504,0
txPower_-20,nrv2x,10,3.22,-1.7,,20.9999999999997,5.2578828828828845,205.1488068092063,0
txPower_-20,nrv2x,11,3.38,-9.9,10.6,97.99999999999862,4.864087301587277,191.6742494496985,0
txPower_-20,nrv2x,12,1.91,-1.4,,14.500000000000004,2.1527777777777772,161.82079517754903,0
txPower_-20,nrv2x,13,2.33,-1.6,,19.999999999999716,3.7306194125159626,341.8175928960737,0
txPower_-20,nrv2x,14,0.51,-1.4,,15.500000000000021,2.6620988612836443,266.2163059528803,0
txPower_-20,nrv2x,15,2.75,-3.9,18.2,33.499999999999524,5.078673835125444,348.5810123746198,0
txPower_-20,nrv2x,16,1.11,-1.7,,26.50000000000001,5.004301948051952,252.4971695977295,0
txPower_-20,nrv2x,17,2.2,-7.5,11.1,106.00000000000037,3.9970370370370385,228.55993583490192,0
txPower_-20,nrv2x,18,0.15,-1.4,,13.000000000000046,2.6908549783549796,302.6754462981545,0
txPower_-20,nrv2x,19,3.5,-1.8,,17.500000000000004,2.4927536231884058,164.17712162403572,0
txPower_-20,nrv2x,2,5.38,-7.4,10.9,30.000000000000107,4.42342403716392,503.45824474984806,0
txPower_-20,nrv2x,3,6.19,-1.7,,6.499999999999999,1.384768740031898,185.38952367154167,0
txPower_-20,nrv2x,4,5.53,-1.6,,20.00000000000007,4.159392655367233,165.23733057953285,0
txPower_-20,nrv2x,5,5.53,-9.9,23.0,99.99999999999858,4.102459016393416,291.78691511579103,0
txPower_-20,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9327160493827162,222.3072089089667,0
txPower_-20,nrv2x,8,1.37,-1.7,,23.00000000000049,3.93657684309817,378.5958820031964,0
txPower_-20,nrv2x,9,0.89,-1.7,,19.500000000000004,4.3371587462082895,204.59495428905313,0
txPower_0,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_0,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_0,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641583,186.96094823369145,0
txPower_0,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.24477903490208,0
txPower_0,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_0,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428575,273.1426758723617,0
txPower_0,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.07772632688904,0
txPower_0,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.034037558685443,193.80243105495964,0
txPower_0,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.3922159623879,0
txPower_0,nrv2x,19,0.47,-1.5,,16.000000000000004,2.5300000000000002,162.60604868982412,0
txPower_0,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112433,624.1479792484886,0
txPower_0,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020404,189.31726781721053,0
txPower_0,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_0,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.90845070422536,223.0962575562033,0
txPower_0,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_0,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.36610285303516,0
txPower_0,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800875,203.4143501262035,0
txPower_10,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_10,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_10,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641582,186.96094823369145,0
txPower_10,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.24477903490208,0
txPower_10,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_10,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428584,273.1426758723617,0
txPower_10,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.077726326889,0
txPower_10,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.034037558685443,193.80243105495964,0
txPower_10,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.39221596238787,0
txPower_10,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_10,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112431,624.1479792484886,0
txPower_10,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020402,189.31726781721053,0
txPower_10,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_10,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.908450704225359,223.09625755620328,0
txPower_10,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_10,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798942,425.3661028530352,0
txPower_10,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800875,203.4143501262035,0
txPower_14,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_14,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
txPower_14,nrv2x,11,3.38,-9.9,5.1,89.00000000000033,4.510931899641582,186.96094823369145,0
txPower_14,nrv2x,12,1.91,-1.4,,14.500000000000004,2.044025157232704,182.2447790349021,0
txPower_14,nrv2x,13,2.33,-1.6,,25.000000000000533,3.739465408805038,366.44180753295143,0
txPower_14,nrv2x,14,0.51,-1.7,,16.499999999999986,3.0946428571428575,273.1426758723617,0
txPower_14,nrv2x,16,1.11,-1.7,,26.50000000000001,4.6910419613389935,283.077726326889,0
txPower_14,nrv2x,17,1.67,-9.9,3.6,106.00000000000037,6.0340375586854424,193.80243105495964,0
txPower_14,nrv2x,18,2.68,-1.5,,32.99999999999953,5.073717948717954,324.39221596238787,0
txPower_14,nrv2x,19,0.47,-1.5,,16.000000000000004,2.53,162.6060486898241,0
txPower_14,nrv2x,2,6.64,-5.7,5.9,31.99999999999955,6.772189349112431,624.1479792484886,0
txPower_14,nrv2x,3,6.19,-1.7,,6.499999999999999,1.4693877551020402,189.31726781721053,0
txPower_14,nrv2x,4,5.53,-1.6,,20.00000000000007,3.890151515151517,166.80840626088298,0
txPower_14,nrv2x,5,5.53,-9.9,9.0,95.00000000000034,4.908450704225359,223.0962575562033,0
txPower_14,nrv2x,6,6.39,-1.4,,14.499999999999995,1.9067796610169492,226.2348981122994,0
txPower_14,nrv2x,8,1.37,-4.2,22.9,28.0000000000001,4.941798941798941,425.3661028530352,0
txPower_14,nrv2x,9,0.89,-1.6,,27.0000000000001,5.765800865800875,203.4143501262035,0
txPower_18,nrv2x,1,6.65,-1.4,,16.499999999999996,1.9131944444444446,195.60834945944504,0
txPower_18,nrv2x,10,3.22,-1.7,,20.9999999999997,4.997890295358652,205.14880680922073,0
