run_id,tech,vehicle_id,sent,received,prr,msg_type
txPower_0,nrv2x,17,1364,981,0.719208211143695,CAM
txPower_23,nrv2x,9,1358,1308,0.9631811487481591,CAM
txPower_-20,nrv2x,13,1454,63,0.04332874828060523,CAM
txPower_14,nrv2x,6,1371,1317,0.9606126914660832,CAM
txPower_10,nrv2x,2,1260,1121,0.8896825396825396,CAM
txPower_18,nrv2x,2,1260,1175,0.9325396825396826,CAM
txPower_10,nrv2x,11,1373,1281,0.932993445010925,CAM
txPower_-10,nrv2x,9,1358,515,0.3792341678939617,CAM
txPower_18,nrv2x,11,1373,1318,0.9599417334304443,CAM
txPower_6,nrv2x,4,1362,1213,0.8906020558002937,CAM
txPower_-10,nrv2x,18,1332,279,0.20945945945945946,CAM
txPower_0,nrv2x,1,1379,963,0.6983321247280638,CAM
txPower_0,nrv2x,10,1356,1064,0.7846607669616519,CAM
txPower_23,nrv2x,2,1260,1193,0.9468253968253968,CAM
txPower_-20,nrv2x,6,1498,110,0.07343124165554073,CAM
txPower_-20,nrv2x,15,1452,91,0.06267217630853994,CAM
txPower_14,nrv2x,8,1309,1244,0.9503437738731857,CAM
txPower_14,nrv2x,17,1364,1218,0.8929618768328446,CAM
txPower_10,nrv2x,4,1362,1280,0.9397944199706314,CAM
txPower_-10,nrv2x,2,1261,402,0.31879460745440125,CAM
txPower_18,nrv2x,4,1362,1307,0.959618208516887,CAM
txPower_10,nrv2x,13,1329,1155,0.8690744920993227,CAM
txPower_-10,nrv2x,11,1373,418,0.30444282592862343,CAM
txPower_18,nrv2x,13,1329,1233,0.927765237020316,CAM
txPower_0,nrv2x,3,1377,955,0.6935366739288308,CAM
txPower_0,nrv2x,12,1382,1159,0.8386396526772794,CAM
txPower_-20,nrv2x,8,1436,62,0.04317548746518106,CAM
txPower_14,nrv2x,1,1379,1174,0.851341551849166,CAM
txPower_-20,nrv2x,17,1485,118,0.07946127946127945,CAM
