tx_power_dbm,cam_mean_rssi_dbm,cam_p10_rssi_dbm,cam_mean_snr_db,cam_avg_prr,eva_avg_prr,eva_avg_latency_ms,eva_control_actions,eva_first_control_action_s,eva_p90_control_action_s,eva_min_ttc_s,eva_min_gap_m,cam_run_dir,eva_run_dir
23.0,-91.91283239910315,-105.4964,28.81170018798341,0.893136,0.922062,10.9834,0.0,,,7.172,6.01,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_23/cam,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_23/eva
11.0,-102.86127983363042,-115.428,18.29913488842005,0.890047,0.910747,13.2552,0.0,,,7.172,6.01,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_11/cam,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-smoke-181234/tx_11/eva
