time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.0331,veh7,CAM,3,39.5017,nan,nan,-81.7168,120.0000,86.6501,1
2.0436,veh7,CAM,6,45.6749,nan,nan,-75.5436,120.0000,22.8090,1
2.1331,veh7,CAM,3,39.5373,nan,nan,-81.6812,120.0000,86.2827,1
2.1368,veh7,CAM,2,34.3067,nan,nan,-86.9118,120.0000,104.7117,1
2.1523,veh7,CAM,5,38.2738,nan,nan,-82.9447,120.0000,56.3797,1
2.1863,veh7,CAM,4,31.0735,nan,nan,-90.1450,120.0000,69.1572,1
2.2331,veh7,CAM,3,39.5634,nan,nan,-81.6551,120.0000,86.0027,1
2.2436,veh7,CAM,6,45.6751,nan,nan,-75.5434,120.0000,22.8258,1
2.2523,veh7,CAM,5,38.3203,nan,nan,-82.8981,120.0000,56.0643,1
2.3331,veh7,CAM,3,39.5798,nan,nan,-81.6387,120.0000,85.8273,1
2.3368,veh7,CAM,2,34.1833,nan,nan,-87.0352,120.0000,106.1851,1
2.3436,veh7,CAM,6,45.6947,nan,nan,-75.5238,120.0000,22.7728,1
2.3523,veh7,CAM,5,38.3543,nan,nan,-82.8641,120.0000,55.8277,1
2.3863,veh7,CAM,4,31.0021,nan,nan,-90.2164,120.0000,69.7110,1
2.4331,veh7,CAM,3,39.5863,nan,nan,-81.6322,120.0000,85.7474,1
2.4436,veh7,CAM,6,45.7093,nan,nan,-75.5092,120.0000,22.7319,1
2.4523,veh7,CAM,5,38.3755,nan,nan,-82.8430,120.0000,55.6728,1
2.5331,veh7,CAM,3,39.5828,nan,nan,-81.6357,120.0000,85.7677,1
2.5368,veh7,CAM,2,34.0353,nan,nan,-87.1832,120.0000,107.9812,1
2.5436,veh7,CAM,6,45.7188,nan,nan,-75.4996,120.0000,22.7053,1
2.5523,veh7,CAM,5,38.3834,nan,nan,-82.8351,120.0000,55.6096,1
2.5863,veh7,CAM,4,30.8975,nan,nan,-90.3210,120.0000,70.5407,1
2.6436,veh7,CAM,6,45.7233,nan,nan,-75.4952,120.0000,22.6913,1
2.6523,veh7,CAM,5,38.3781,nan,nan,-82.8404,120.0000,55.6308,1
