time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
16.5856,veh12,CAM,4,19.9809,nan,nan,-101.2376,120.0000,232.4278,1
16.6423,veh12,CAM,3,20.5959,nan,nan,-100.6225,120.0000,278.8173,1
16.6518,veh12,CAM,5,16.7315,nan,nan,-104.4870,120.0000,210.8470,1
16.6743,veh12,CAM,7,28.4233,nan,nan,-92.7952,293.0000,167.1707,1
16.6856,veh12,CAM,4,19.9431,nan,nan,-101.2753,120.0000,233.4441,1
16.6861,veh12,CAM,10,37.0819,nan,nan,-84.1365,120.0000,79.7568,1
16.7651,veh12,CAM,8,12.1519,nan,nan,-104.3246,120.0000,141.6647,1
16.7723,veh12,CAM,11,39.6357,nan,nan,-81.5828,120.0000,44.9068,1
16.7856,veh12,CAM,4,19.9075,nan,nan,-101.3110,120.0000,234.4090,1
16.7918,veh12,CAM,9,37.9312,nan,nan,-83.2873,120.0000,108.0407,1
16.8423,veh12,CAM,3,20.4053,nan,nan,-100.8132,120.0000,285.0043,1
16.8856,veh12,CAM,4,19.8728,nan,nan,-101.3457,120.0000,235.3442,1
16.9423,veh12,CAM,3,20.2178,nan,nan,-101.0007,120.0000,291.3537,1
16.9506,veh12,CAM,6,23.9353,nan,nan,-97.2832,120.0000,188.9147,1
16.9651,veh12,CAM,8,19.3009,nan,nan,-103.8727,120.0000,145.0088,1
16.9856,veh12,CAM,4,19.8380,nan,nan,-101.3805,120.0000,236.2863,1
16.9893,veh12,CAM,10,35.4746,nan,nan,-85.7439,120.0000,81.9535,1
17.0423,veh12,CAM,3,20.1435,nan,nan,-101.0750,120.0000,293.8498,1
17.0518,veh12,CAM,5,16.4217,nan,nan,-104.7968,120.0000,218.4907,1
17.0723,veh12,CAM,11,39.3563,nan,nan,-81.8622,120.0000,46.3856,1
17.0856,veh12,CAM,4,19.8031,nan,nan,-101.4154,120.0000,237.2355,1
17.0893,veh12,CAM,10,35.1638,nan,nan,-86.0547,120.0000,84.9933,1
17.0918,veh12,CAM,9,37.6034,nan,nan,-83.6150,120.0000,112.1600,1
17.1391,veh12,CAM,2,25.6237,nan,nan,-95.5948,120.0000,181.8994,1
17.1423,veh12,CAM,3,20.0691,nan,nan,-101.1494,120.0000,296.3731,1
17.1893,veh12,CAM,10,35.1245,nan,nan,-86.0939,120.0000,85.3583,1
17.2423,veh12,CAM,3,20.0130,nan,nan,-101.2055,120.0000,298.2906,1
17.2743,veh12,CAM,7,28.0251,nan,nan,-93.1934,293.0000,174.9886,1
17.2893,veh12,CAM,10,35.1787,nan,nan,-86.0398,120.0000,84.8195,1
17.3423,veh12,CAM,3,19.9714,nan,nan,-101.2471,120.0000,299.7164,1
17.3518,veh12,CAM,5,16.2643,nan,nan,-104.9542,120.0000,222.4614,1
17.3671,veh12,CAM,8,18.6299,nan,nan,-102.8010,120.0000,149.7801,1
17.3723,veh12,CAM,11,39.2263,nan,nan,-81.9921,120.0000,47.0819,1
17.3893,veh12,CAM,10,35.2321,nan,nan,-85.9864,120.0000,84.2949,1
17.3918,veh12,CAM,9,37.4343,nan,nan,-83.7842,120.0000,114.3387,1
17.4343,veh12,CAM,3,18.4786,nan,nan,-102.7399,120.0000,301.1797,1
17.4506,veh12,CAM,6,23.7183,nan,nan,-97.5002,120.0000,193.6694,1
17.4893,veh12,CAM,10,35.2788,nan,nan,-85.9397,120.0000,83.8252,1
17.5518,veh12,CAM,5,16.1934,nan,nan,-105.0251,120.0000,224.2622,1
17.5843,veh12,CAM,10,35.9624,nan,nan,-85.2561,120.0000,83.4343,1
17.6343,veh12,CAM,3,18.3918,nan,nan,-102.8267,120.0000,304.1958,1
17.6843,veh12,CAM,10,35.9949,nan,nan,-85.2236,120.0000,83.1136,1
17.6868,veh12,CAM,11,41.8100,nan,nan,-79.4085,120.0000,46.9599,1
17.7073,veh12,CAM,9,33.8691,nan,nan,-87.3494,293.0000,115.7482,1
17.7518,veh12,CAM,5,16.1155,nan,nan,-105.1030,120.0000,226.2703,1
17.7683,veh12,CAM,7,28.4699,nan,nan,-92.7486,308.0000,176.8069,1
17.8343,veh12,CAM,3,18.3022,nan,nan,-102.9163,120.0000,307.3403,1
17.8868,veh12,CAM,11,41.8824,nan,nan,-79.3361,120.0000,46.6334,1
17.9493,veh12,CAM,6,19.8784,nan,nan,-101.3401,120.0000,196.0362,1
17.9518,veh12,CAM,5,16.0306,nan,nan,-105.1878,120.0000,228.4720,1
17.9843,veh12,CAM,10,36.0478,nan,nan,-85.1707,120.0000,82.5758,1
17.9868,veh12,CAM,11,41.9831,nan,nan,-79.2354,120.0000,46.0828,1
18.0073,veh12,CAM,9,33.7237,nan,nan,-87.4948,293.0000,117.6699,1
18.0343,veh12,CAM,3,18.2100,nan,nan,-103.0085,120.0000,310.6128,1
18.0868,veh12,CAM,11,42.0730,nan,nan,-79.1455,120.0000,45.6054,1
18.0936,veh12,CAM,4,20.3232,nan,nan,-100.8953,120.0000,236.5454,1
18.1351,veh12,CAM,2,27.5719,nan,nan,-93.6466,120.0000,179.0576,1
18.1511,veh12,CAM,5,13.5450,nan,nan,-107.6735,120.0000,230.8707,1
18.1861,veh12,CAM,11,43.4849,nan,nan,-77.7336,120.0000,45.1825,1
18.2343,veh12,CAM,3,18.1154,nan,nan,-103.1031,120.0000,314.0075,1
18.2783,veh12,CAM,7,27.8230,nan,nan,-93.3955,293.0000,179.0580,1
18.2811,veh12,CAM,10,35.3883,nan,nan,-85.8302,120.0000,82.6769,1
18.2861,veh12,CAM,11,43.5513,nan,nan,-77.6672,120.0000,44.8353,1
18.3073,veh12,CAM,9,33.5505,nan,nan,-87.6680,293.0000,120.0178,1
18.3511,veh12,CAM,5,13.4470,nan,nan,-107.7715,120.0000,233.4711,1
18.3861,veh12,CAM,11,43.6049,nan,nan,-77.6136,120.0000,44.5554,1
18.4343,veh12,CAM,3,18.0186,nan,nan,-103.1999,120.0000,317.5205,1
18.4493,veh12,CAM,6,19.7559,nan,nan,-101.4625,120.0000,198.7977,1
18.4861,veh12,CAM,11,43.6454,nan,nan,-77.5731,120.0000,44.3336,1
18.5343,veh12,CAM,3,18.0037,nan,nan,-103.2147,120.0000,318.2116,1
18.5511,veh12,CAM,5,13.3427,nan,nan,-104.4651,120.0000,236.2780,1
18.5811,veh12,CAM,10,35.3053,nan,nan,-85.9132,120.0000,83.4411,1
18.6073,veh12,CAM,9,33.3529,nan,nan,-87.8656,293.0000,122.7494,1
18.6343,veh12,CAM,3,17.9958,nan,nan,-103.2227,120.0000,318.4982,1
18.6688,veh12,CAM,8,23.7149,nan,nan,-110.5140,120.0000,157.3074,1
18.7498,veh12,CAM,3,17.9856,nan,nan,-103.2329,120.0000,318.8552,1
18.7511,veh12,CAM,5,13.2325,nan,nan,-107.9860,120.0000,239.2780,1
18.7783,veh12,CAM,7,27.6894,nan,nan,-93.5291,293.0000,181.8185,1
18.7861,veh12,CAM,11,43.6844,nan,nan,-77.5341,120.0000,44.1136,1
18.8498,veh12,CAM,3,17.9751,nan,nan,-103.2434,120.0000,319.2323,1
18.8811,veh12,CAM,10,35.1766,nan,nan,-86.0419,120.0000,84.6538,1
18.9083,veh12,CAM,9,36.6053,nan,nan,-84.6132,293.0000,125.5265,1
18.9423,veh12,CAM,6,21.2115,nan,nan,-100.0070,120.0000,201.4339,1
18.9498,veh12,CAM,3,17.9787,nan,nan,-103.2398,120.0000,319.0921,1
18.9511,veh12,CAM,5,13.1384,nan,nan,-108.0801,120.0000,241.8638,1
18.9688,veh12,CAM,8,22.3987,nan,nan,-97.6679,120.0000,160.0416,1
19.0498,veh12,CAM,3,17.9814,nan,nan,-103.2371,120.0000,318.9860,1
19.0826,veh12,CAM,11,42.4027,nan,nan,-93.1630,120.0000,43.8354,1
19.0948,veh12,CAM,4,13.7104,nan,nan,-92.4944,120.0000,234.2919,1
19.1378,veh12,CAM,2,27.4558,nan,nan,-93.7627,120.0000,175.3223,1
19.1511,veh12,CAM,5,13.0568,nan,nan,-108.1617,120.0000,244.1301,1
19.1763,veh12,CAM,10,35.6102,nan,nan,-85.6083,120.0000,85.2863,1
19.2083,veh12,CAM,9,36.4896,nan,nan,-84.7289,308.0000,127.2046,1
19.2356,veh12,CAM,3,8.1248,nan,nan,-113.0937,120.0000,318.9430,1
19.2638,veh12,CAM,8,24.0583,nan,nan,-121.6605,120.0000,160.8292,1
19.2783,veh12,CAM,7,27.6496,nan,nan,-93.5689,293.0000,182.6365,1
19.3511,veh12,CAM,5,12.9693,nan,nan,-108.2492,120.0000,246.5889,1
19.3638,veh12,CAM,8,22.3080,nan,nan,-98.4921,120.0000,161.0204,1
19.3826,veh12,CAM,11,42.4196,nan,nan,-93.1222,120.0000,43.7267,1
19.4083,veh12,CAM,9,36.4146,nan,nan,-84.8039,293.0000,128.3161,1
19.4423,veh12,CAM,6,21.1783,nan,nan,-100.0402,120.0000,202.1897,1
19.4498,veh12,CAM,3,17.9803,nan,nan,-103.2382,120.0000,319.0071,1
19.4638,veh12,CAM,8,9.9738,nan,nan,-99.7308,120.0000,161.1637,1
19.4763,veh12,CAM,10,35.5122,nan,nan,-85.7063,120.0000,86.2325,1
19.5446,veh12,CAM,5,15.2750,nan,nan,-105.9435,120.0000,249.2868,1
19.5638,veh12,CAM,8,15.5807,nan,nan,-105.5455,120.0000,161.2783,1
19.6083,veh12,CAM,9,36.3433,nan,nan,-84.8752,293.0000,129.3754,1
19.6498,veh12,CAM,3,17.9726,nan,nan,-103.2459,120.0000,319.2763,1
19.6638,veh12,CAM,8,23.5056,nan,nan,-105.6966,120.0000,161.4023,1
19.6826,veh12,CAM,11,42.3715,nan,nan,-78.8470,120.0000,43.9517,1
19.7446,veh12,CAM,5,15.1766,nan,nan,-106.0419,120.0000,252.1225,1
19.7638,veh12,CAM,8,21.5882,nan,nan,-98.5341,120.0000,161.5432,1
19.7763,veh12,CAM,10,35.3736,nan,nan,-85.8449,120.0000,87.6073,1
19.7923,veh12,CAM,7,28.5976,nan,nan,-92.6209,265.0000,183.3274,1
19.8083,veh12,CAM,9,36.2704,nan,nan,-84.9481,305.0000,130.4703,1
19.9403,veh12,CAM,6,24.4352,nan,nan,-96.7833,120.0000,203.2893,1
19.9446,veh12,CAM,5,15.0728,nan,nan,-106.1457,120.0000,255.1427,1
19.9886,veh12,CAM,11,43.5941,nan,nan,-77.6244,120.0000,44.5050,1
20.0051,veh12,CAM,9,34.5289,nan,nan,-86.6896,293.0000,131.6042,1
20.0763,veh12,CAM,10,35.1981,nan,nan,-86.0204,120.0000,89.3772,1
20.0851,veh12,CAM,4,12.6729,nan,nan,-108.5456,120.0000,228.8689,1
20.0886,veh12,CAM,11,42.8829,nan,nan,-78.3356,120.0000,48.3388,1
20.1273,veh12,CAM,2,27.7739,nan,nan,-93.4446,120.0000,168.9959,1
20.1446,veh12,CAM,5,14.9640,nan,nan,-106.2545,120.0000,258.3539,1
20.1886,veh12,CAM,11,42.8844,nan,nan,-78.3341,120.0000,48.3133,1
20.2051,veh12,CAM,9,34.4513,nan,nan,-86.7672,293.0000,132.7908,1
20.2813,veh12,CAM,7,27.5540,nan,nan,-93.6645,265.0000,184.5585,1
20.2886,veh12,CAM,11,42.8705,nan,nan,-78.3480,120.0000,48.3815,1
20.3446,veh12,CAM,5,14.8507,nan,nan,-106.3678,120.0000,261.7384,1
