time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.0331,veh6,CAM,3,42.0427,nan,nan,-79.1758,120.0000,69.1478,1
2.0681,veh6,CAM,7,45.7847,nan,nan,-75.4338,265.0000,22.9690,1
2.1331,veh6,CAM,3,42.0194,nan,nan,-79.1991,120.0000,69.3187,1
2.1368,veh6,CAM,2,29.8445,nan,nan,-91.3740,120.0000,92.8361,1
2.1523,veh6,CAM,5,42.1189,nan,nan,-79.0996,120.0000,33.9968,1
2.1681,veh6,CAM,7,45.7711,nan,nan,-75.4474,265.0000,23.0037,1
2.1863,veh6,CAM,4,42.2547,nan,nan,-78.9638,120.0000,49.1733,1
2.2331,veh6,CAM,3,42.0104,nan,nan,-79.2081,120.0000,69.3707,1
2.2523,veh6,CAM,5,42.1519,nan,nan,-79.0666,120.0000,33.8503,1
2.2681,veh6,CAM,7,45.7920,nan,nan,-75.4265,265.0000,22.9499,1
2.3331,veh6,CAM,3,42.0068,nan,nan,-79.2117,120.0000,69.3870,1
2.3368,veh6,CAM,2,29.6743,nan,nan,-91.5442,120.0000,94.6565,1
2.3523,veh6,CAM,5,42.1686,nan,nan,-79.0499,120.0000,33.7647,1
2.3681,veh6,CAM,7,45.8106,nan,nan,-75.4079,277.0000,22.9019,1
2.3863,veh6,CAM,4,42.1123,nan,nan,-79.1062,120.0000,49.9728,1
2.4331,veh6,CAM,3,41.9920,nan,nan,-79.2265,120.0000,69.4892,1
2.4523,veh6,CAM,5,42.1654,nan,nan,-79.0531,120.0000,33.7574,1
2.4681,veh6,CAM,7,45.8242,nan,nan,-75.3943,265.0000,22.8680,1
2.5331,veh6,CAM,3,41.9663,nan,nan,-79.2522,120.0000,69.6824,1
2.5368,veh6,CAM,2,29.4998,nan,nan,-91.7187,120.0000,96.5563,1
2.5523,veh6,CAM,5,42.1421,nan,nan,-79.0764,120.0000,33.8339,1
2.5681,veh6,CAM,7,45.8327,nan,nan,-75.3858,265.0000,22.8491,1
2.5863,veh6,CAM,4,41.9365,nan,nan,-79.2820,120.0000,50.9832,1
2.6523,veh6,CAM,5,42.0991,nan,nan,-79.1194,120.0000,33.9902,1
2.6681,veh6,CAM,7,45.8362,nan,nan,-75.3823,265.0000,22.8324,1
2.7331,veh6,CAM,3,41.8827,nan,nan,-79.3358,120.0000,70.3283,1
2.7368,veh6,CAM,2,29.3076,nan,nan,-91.9109,120.0000,98.7002,1
2.7523,veh6,CAM,5,42.0367,nan,nan,-79.1818,120.0000,34.2211,1
2.7863,veh6,CAM,4,41.7312,nan,nan,-79.4873,120.0000,52.1946,1
2.8863,veh6,CAM,4,40.9153,nan,nan,-80.3032,120.0000,57.4118,1
2.9331,veh6,CAM,3,41.7580,nan,nan,-79.4605,120.0000,71.3268,1
2.9368,veh6,CAM,2,29.1002,nan,nan,-92.1182,120.0000,101.0694,1
2.9426,veh6,CAM,5,42.4430,nan,nan,-78.7755,120.0000,35.0555,1
2.9681,veh6,CAM,7,45.8158,nan,nan,-75.4027,265.0000,22.8900,1
2.9991,veh6,CAM,4,39.3301,nan,nan,-81.8884,308.0000,57.3507,1
3.0991,veh6,CAM,4,39.3017,nan,nan,-81.9168,308.0000,57.5420,1
3.1276,veh6,CAM,2,28.8914,nan,nan,-92.3271,120.0000,103.7410,1
3.1331,veh6,CAM,3,41.5956,nan,nan,-79.6229,120.0000,72.6519,1
3.1426,veh6,CAM,5,42.2007,nan,nan,-79.0178,120.0000,36.0371,1
3.1991,veh6,CAM,4,39.2578,nan,nan,-81.9607,308.0000,57.8352,1
3.2811,veh6,CAM,7,45.5304,nan,nan,-75.6881,293.0000,23.3805,1
3.2991,veh6,CAM,4,39.1991,nan,nan,-82.0194,308.0000,58.2289,1
3.3253,veh6,CAM,3,36.9893,nan,nan,-84.2292,120.0000,74.3886,1
