tx_id,rx_id,distance,rssi,snr
1,10,254.513,-115.692,5.52646
2,3,265.018,-115.606,0.761927
6,1,219.558,-114.031,8.27515
6,7,227.591,-105.33,15.8888
6,8,242.962,-110.818,15.8564
9,1,242.189,-103.875,17.3438
9,2,10.815,-93.75,27.4685
9,3,258.291,-114.705,6.51397
9,4,82.6265,-95.0393,26.1792
9,5,101.798,-117.773,8.0413
9,6,25.2278,-87.3653,33.8532
9,10,86.9069,-96.855,24.3634
9,11,100.042,-101.538,19.6801
9,12,16.5829,-84.8215,36.397
12,1,226.258,-105.775,15.4434
12,2,25.1794,-85.7796,35.4389
12,3,241.807,-112.623,8.5957
12,4,80.2318,-102.219,18.8832
12,5,95.0255,-97.9425,23.276
12,6,8.82918,-75.3562,45.8623
12,7,235.017,-104.234,16.9845
12,8,249.939,-111.774,9.44484
12,9,16.5747,-84.8215,36.397
12,10,83.2607,-116.313,9.34875
12,11,94.6271,-107.333,14.5975
8,1,95.0447,-95.7219,25.4965
8,2,273.16,-112.199,9.01973
8,3,8.73844,-79.3881,41.8304
8,5,226.224,-108.141,13.0771
8,6,241.591,-112.313,15.9241
8,7,94.6363,-96.2659,24.9526
8,10,245.254,-109.501,12.5123
8,12,249.917,-111.772,9.44604
2,1,251.432,-104.822,16.3963
2,4,76.9121,-94.4375,26.781
2,5,98.8202,-97.4787,23.7398
2,6,34.5757,-88.6961,32.5224
2,8,273.243,-112.202,9.0167
2,9,11.0723,-93.9372,27.2813
2,10,81.9605,-103.354,17.8645
2,11,96.0859,-97.8454,23.3731
2,12,25.542,-85.9003,35.3182
1,2,251.492,-104.822,16.3963
1,3,94.6255,-100.207,21.0111
1,6,216.781,-113.268,8.06738
1,7,8.94358,-78.3799,42.8386
1,8,95.0448,-95.7236,25.4949
1,9,241.991,-103.866,17.3529
1,12,225.884,-105.758,15.4602
5,2,98.813,-97.4795,23.739
5,4,30.4394,-97.7589,23.4596
5,6,94.635,-98.8778,22.3407
5,8,225.912,-108.127,13.0915
5,10,22.91,-94.1687,27.0498
5,11,8.88405,-76.6666,44.5518
5,12,95.0514,-97.9449,23.2736
3,1,94.6321,-100.207,21.0111
3,7,95.0481,-101.756,19.4627
3,8,8.85804,-79.5805,41.638
3,9,258.088,-114.696,6.52269
3,10,236.364,-112.296,6.83887
3,12,241.456,-112.608,8.61038
6,2,34.6339,-88.7327,28.8493
6,4,82.5236,-94.4605,18.2847
6,5,94.6194,-98.8778,12.3054
6,9,25.5937,-87.519,26.304
6,10,84.8496,-95.6919,20.6759
6,11,95.0488,-96.1912,16.6422
6,12,9.02992,-75.6323,36.9309
5,1,240.253,-119.036,2.18247
5,3,216.999,-120.671,3.83334
5,7,248.412,-117.889,3.329
5,9,101.853,-115.628,5.96396
3,4,242.755,-113.187,8.93059
3,5,216.909,-124.767,5.90715
3,11,225.918,-110.897,7.57811
1,5,240.171,-119.031,2.18717
1,10,253.416,-115.654,5.56413
2,3,264.681,-118.313,-0.381942
6,7,225.777,-105.26,15.959
6,8,241.272,-110.457,12.5008
10,2,81.7623,-103.331,17.8876
10,4,7.67586,-91.5899,29.6286
10,5,23.2866,-94.2938,26.9246
10,6,84.9324,-95.6968,25.5217
10,9,86.7411,-96.8361,24.3824
10,11,16.159,-84.1196,37.0989
