scenario,path
v2v-cam-exchange-sionna-nrv2x,figures/v2v-cam-exchange-sionna-nrv2x/cam_sionna_prr_per_node.png
v2v-cam-exchange-sionna-nrv2x,figures/v2v-cam-exchange-sionna-nrv2x/cam_sionna_phy_vs_distance.png
