timestamp,index,name,utilization_gpu_pct,utilization_mem_pct,memory_used_mib,power_w,temp_c
2026/02/20 19:58:38.234, 0, NVIDIA GeForce RTX 5070 Ti, 0, 10, 1241, 32.98, 49
2026/02/20 19:58:39.272, 0, NVIDIA GeForce RTX 5070 Ti, 1, 15, 1241, 31.76, 48
2026/02/20 19:58:40.310, 0, NVIDIA GeForce RTX 5070 Ti, 1, 23, 1241, 31.24, 48
2026/02/20 19:58:41.349, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1241, 30.51, 48
2026/02/20 19:58:42.387, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1241, 29.61, 48
2026/02/20 19:58:43.426, 0, NVIDIA GeForce RTX 5070 Ti, 0, 21, 1241, 29.74, 48
2026/02/20 19:58:44.465, 0, NVIDIA GeForce RTX 5070 Ti, 1, 23, 1247, 30.35, 48
2026/02/20 19:58:45.503, 0, NVIDIA GeForce RTX 5070 Ti, 0, 23, 1259, 29.93, 48
2026/02/20 19:58:46.542, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1419, 30.01, 48
2026/02/20 19:58:47.601, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.98, 48
2026/02/20 19:58:48.658, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1414, 29.52, 48
2026/02/20 19:58:48.587, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.50, 48
2026/02/20 19:58:49.646, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.61, 48
2026/02/20 19:58:50.701, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.54, 48
2026/02/20 19:58:51.756, 0, NVIDIA GeForce RTX 5070 Ti, 1, 20, 1414, 30.53, 48
2026/02/20 19:58:52.795, 0, NVIDIA GeForce RTX 5070 Ti, 1, 20, 1414, 30.55, 48
2026/02/20 19:58:53.850, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.64, 48
2026/02/20 19:58:54.889, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.77, 48
2026/02/20 19:58:55.944, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.54, 48
2026/02/20 19:58:56.982, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.61, 48
2026/02/20 19:58:58.043, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.68, 48
2026/02/20 19:58:59.082, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.72, 48
2026/02/20 19:59:00.131, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.64, 48
2026/02/20 19:59:01.187, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.56, 48
2026/02/20 19:59:02.225, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.58, 48
2026/02/20 19:59:03.281, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.65, 48
2026/02/20 19:59:04.319, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.62, 48
2026/02/20 19:59:05.374, 0, NVIDIA GeForce RTX 5070 Ti, 1, 20, 1414, 30.62, 48
2026/02/20 19:59:06.413, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.61, 48
2026/02/20 19:59:07.451, 0, NVIDIA GeForce RTX 5070 Ti, 1, 23, 1414, 30.53, 48
2026/02/20 19:59:08.490, 0, NVIDIA GeForce RTX 5070 Ti, 1, 19, 1414, 30.57, 48
2026/02/20 19:59:09.532, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.80, 48
2026/02/20 19:59:10.571, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.50, 48
2026/02/20 19:59:11.610, 0, NVIDIA GeForce RTX 5070 Ti, 0, 18, 1414, 29.58, 48
2026/02/20 19:59:12.649, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.47, 48
2026/02/20 19:59:13.691, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.36, 48
2026/02/20 19:59:14.730, 0, NVIDIA GeForce RTX 5070 Ti, 1, 20, 1414, 30.75, 48
2026/02/20 19:59:15.768, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.61, 48
2026/02/20 19:59:16.807, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.53, 48
2026/02/20 19:59:17.852, 0, NVIDIA GeForce RTX 5070 Ti, 1, 20, 1414, 30.40, 48
2026/02/20 19:59:18.909, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.39, 48
2026/02/20 19:59:18.813, 0, NVIDIA GeForce RTX 5070 Ti, 1, 23, 1414, 30.31, 48
2026/02/20 19:59:19.868, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.53, 48
2026/02/20 19:59:20.924, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.53, 48
2026/02/20 19:59:21.962, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.76, 48
2026/02/20 19:59:23.021, 0, NVIDIA GeForce RTX 5070 Ti, 1, 21, 1414, 30.53, 48
2026/02/20 19:59:24.076, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.52, 48
2026/02/20 19:59:25.131, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.58, 48
2026/02/20 19:59:26.170, 0, NVIDIA GeForce RTX 5070 Ti, 0, 23, 1414, 30.62, 48
2026/02/20 19:59:27.226, 0, NVIDIA GeForce RTX 5070 Ti, 0, 23, 1414, 30.79, 48
2026/02/20 19:59:28.281, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 30.73, 48
2026/02/20 19:59:29.320, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 30.67, 48
2026/02/20 19:59:30.379, 0, NVIDIA GeForce RTX 5070 Ti, 0, 21, 1414, 29.95, 48
2026/02/20 19:59:31.434, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1414, 29.49, 48
2026/02/20 19:59:32.490, 0, NVIDIA GeForce RTX 5070 Ti, 0, 21, 1414, 29.42, 48
2026/02/20 19:59:33.546, 0, NVIDIA GeForce RTX 5070 Ti, 0, 23, 1414, 30.66, 48
2026/02/20 19:59:34.584, 0, NVIDIA GeForce RTX 5070 Ti, 0, 24, 1414, 30.58, 48
2026/02/20 19:59:35.623, 0, NVIDIA GeForce RTX 5070 Ti, 0, 24, 1414, 30.56, 48
2026/02/20 19:59:36.662, 0, NVIDIA GeForce RTX 5070 Ti, 1, 24, 1414, 30.60, 48
2026/02/20 19:59:37.701, 0, NVIDIA GeForce RTX 5070 Ti, 1, 22, 1414, 30.50, 48
2026/02/20 19:59:38.739, 0, NVIDIA GeForce RTX 5070 Ti, 1, 23, 1414, 30.52, 48
2026/02/20 19:59:39.779, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1414, 29.78, 48
2026/02/20 19:59:40.818, 0, NVIDIA GeForce RTX 5070 Ti, 0, 23, 1414, 29.67, 48
2026/02/20 19:59:41.858, 0, NVIDIA GeForce RTX 5070 Ti, 0, 21, 1414, 29.46, 48
2026/02/20 19:59:42.896, 0, NVIDIA GeForce RTX 5070 Ti, 0, 24, 1414, 29.54, 48
2026/02/20 19:59:43.935, 0, NVIDIA GeForce RTX 5070 Ti, 0, 22, 1414, 29.55, 48
2026/02/20 19:59:44.973, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.50, 48
2026/02/20 19:59:46.024, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.49, 48
2026/02/20 19:59:47.065, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.44, 48
2026/02/20 19:59:48.117, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.52, 48
2026/02/20 19:59:49.174, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.62, 48
2026/02/20 19:59:50.231, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.80, 48
2026/02/20 19:59:50.152, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.67, 48
2026/02/20 19:59:51.211, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.57, 48
2026/02/20 19:59:52.266, 0, NVIDIA GeForce RTX 5070 Ti, 0, 19, 1414, 29.41, 48
2026/02/20 19:59:53.323, 0, NVIDIA GeForce RTX 5070 Ti, 0, 20, 1414, 29.53, 48
