tx_power_dbm,cam_mean_rssi_dbm,cam_p10_rssi_dbm,cam_mean_snr_db,cam_avg_prr,eva_avg_prr,eva_avg_latency_ms,eva_control_actions,eva_first_control_action_s,eva_p90_control_action_s,eva_min_ttc_s,eva_min_gap_m,cam_run_dir,eva_run_dir
23.0,-91.33907128374773,-104.1335,29.486773731308222,0.948478,0.971916,11.9522,0.0,,,2.572,6.01,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-tx23-vs-5-181716/tx_23/cam,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-tx23-vs-5-181716/tx_23/eva
5.0,-106.8496900024916,-117.5658,14.370700648517406,0.901136,0.931646,16.5808,0.0,,,2.572,6.01,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-tx23-vs-5-181716/tx_5/cam,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/rssi-safety-tx23-vs-5-181716/tx_5/eva
