time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
4.1748,veh2,CAM,7,31.3957,nan,nan,-89.8228,293.0000,130.3792,1
4.1791,veh2,CAM,4,27.8324,nan,nan,-90.5160,305.0000,56.0358,1
4.2408,veh2,CAM,6,28.8296,nan,nan,-92.3889,120.0000,120.5683,1
4.2416,veh2,CAM,5,23.7076,nan,nan,-92.4435,120.0000,75.5138,1
4.2638,veh2,CAM,8,28.0324,nan,nan,-92.7285,120.0000,139.4942,1
4.2748,veh2,CAM,7,31.3005,nan,nan,-89.9179,293.0000,131.8093,1
4.3408,veh2,CAM,6,28.7680,nan,nan,-85.0287,120.0000,121.4188,1
4.3408,veh2,CAM,3,43.6116,nan,nan,-85.0287,120.0000,37.6786,1
4.3416,veh2,CAM,5,29.9643,nan,nan,-94.4838,120.0000,75.7752,1
4.3916,veh2,CAM,4,25.8577,nan,nan,-98.3577,293.0000,56.9675,1
4.4408,veh2,CAM,6,28.7062,nan,nan,-92.5123,120.0000,122.2844,1
4.5383,veh2,CAM,3,42.2885,nan,nan,-78.9300,120.0000,37.8317,1
4.5408,veh2,CAM,6,28.6442,nan,nan,-92.5743,120.0000,123.1590,1
4.5416,veh2,CAM,5,29.4987,nan,nan,-90.2161,120.0000,76.2899,1
4.5748,veh2,CAM,7,31.0078,nan,nan,-90.2107,293.0000,136.3070,1
4.5793,veh2,CAM,8,28.7657,nan,nan,-98.7607,120.0000,146.8633,1
4.5916,veh2,CAM,4,28.3355,nan,nan,-102.1020,120.0000,57.4273,1
4.6408,veh2,CAM,6,28.5820,nan,nan,-92.6364,120.0000,124.0442,1
4.7383,veh2,CAM,3,42.1982,nan,nan,-79.0203,120.0000,38.2288,1
4.7408,veh2,CAM,6,28.5197,nan,nan,-92.6988,120.0000,124.9286,1
4.7416,veh2,CAM,5,29.9377,nan,nan,-97.3633,120.0000,76.7969,1
4.7916,veh2,CAM,4,27.2525,nan,nan,-92.0507,120.0000,57.8793,1
4.8708,veh2,CAM,7,29.0035,nan,nan,-92.2150,293.0000,141.0897,1
4.8793,veh2,CAM,8,26.3750,nan,nan,-97.0834,120.0000,154.5601,1
4.9383,veh2,CAM,3,42.1088,nan,nan,-79.1097,120.0000,38.6179,1
4.9416,veh2,CAM,5,24.4048,nan,nan,-94.9468,120.0000,77.3040,1
4.9916,veh2,CAM,4,24.4707,nan,nan,-96.9205,120.0000,58.3236,1
5.0408,veh2,CAM,6,28.3320,nan,nan,-92.8865,120.0000,127.6580,1
5.1383,veh2,CAM,3,42.0203,nan,nan,-79.1982,120.0000,39.0150,1
5.1401,veh2,CAM,5,28.1731,nan,nan,-94.5328,120.0000,77.8032,1
5.1708,veh2,CAM,7,28.6970,nan,nan,-92.5215,293.0000,146.1420,1
5.1793,veh2,CAM,8,26.3832,nan,nan,-96.9876,120.0000,162.6831,1
5.1916,veh2,CAM,4,22.3031,nan,nan,-99.5632,120.0000,58.7755,1
5.2793,veh2,CAM,8,21.5840,nan,nan,-97.8640,120.0000,164.5604,1
5.3401,veh2,CAM,5,29.5294,nan,nan,-87.6214,120.0000,78.3022,1
5.3401,veh2,CAM,3,42.8028,nan,nan,-87.6214,120.0000,39.6399,1
5.3408,veh2,CAM,6,28.1435,nan,nan,-93.0750,120.0000,130.4496,1
5.3793,veh2,CAM,8,25.9080,nan,nan,-102.8588,120.0000,166.1662,1
5.3916,veh2,CAM,4,18.4052,nan,nan,-96.5903,120.0000,59.2197,1
5.4708,veh2,CAM,7,28.3875,nan,nan,-92.8309,293.0000,151.4249,1
5.4793,veh2,CAM,8,25.9886,nan,nan,-103.0189,120.0000,167.8135,1
5.5401,veh2,CAM,5,32.4212,nan,nan,-85.5758,120.0000,78.7936,1
5.5401,veh2,CAM,3,42.7161,nan,nan,-85.5758,120.0000,40.0370,1
5.5793,veh2,CAM,8,25.2082,nan,nan,-95.8762,120.0000,169.5037,1
5.5803,veh2,CAM,4,26.1598,nan,nan,-102.0368,293.0000,59.4278,1
5.6528,veh2,CAM,6,26.7178,nan,nan,-94.5007,120.0000,133.5433,1
5.6668,veh2,CAM,7,27.0889,nan,nan,-94.1295,293.0000,154.5424,1
5.6756,veh2,CAM,8,18.6944,nan,nan,-95.1961,120.0000,171.2309,1
5.7401,veh2,CAM,3,42.6302,nan,nan,-78.5883,120.0000,40.4261,1
5.7651,veh2,CAM,5,30.8060,nan,nan,-98.5971,120.0000,79.7567,1
5.7668,veh2,CAM,7,27.0380,nan,nan,-94.1805,293.0000,155.4471,1
5.7756,veh2,CAM,8,28.0973,nan,nan,-97.9063,120.0000,172.9961,1
5.7803,veh2,CAM,4,24.3570,nan,nan,-95.4540,293.0000,59.8720,1
5.8668,veh2,CAM,7,26.9870,nan,nan,-94.2315,293.0000,156.3585,1
5.8756,veh2,CAM,8,24.3660,nan,nan,-94.2750,120.0000,174.8054,1
5.9401,veh2,CAM,3,42.5452,nan,nan,-78.6733,120.0000,40.8232,1
5.9528,veh2,CAM,6,26.5290,nan,nan,-94.6895,120.0000,136.4648,1
5.9651,veh2,CAM,5,27.2675,nan,nan,-90.3244,120.0000,80.2400,1
5.9668,veh2,CAM,7,26.9360,nan,nan,-94.2825,293.0000,157.2855,1
5.9803,veh2,CAM,4,23.4778,nan,nan,-105.4846,293.0000,60.3163,1
6.0668,veh2,CAM,7,26.9029,nan,nan,-94.3156,293.0000,157.8822,1
6.1401,veh2,CAM,3,42.7202,nan,nan,-78.4983,120.0000,39.8361,1
6.1568,veh2,CAM,5,26.0700,nan,nan,-93.8178,120.0000,78.9070,1
6.1668,veh2,CAM,7,26.9322,nan,nan,-94.2863,293.0000,157.3489,1
6.1756,veh2,CAM,8,23.1826,nan,nan,-97.4900,120.0000,178.5501,1
6.1803,veh2,CAM,4,23.4749,nan,nan,-122.6308,305.0000,58.5663,1
6.2026,veh2,CAM,9,31.0962,nan,nan,-90.1223,120.0000,167.9853,1
6.2401,veh2,CAM,3,43.1435,nan,nan,-78.0750,120.0000,37.8909,1
6.2528,veh2,CAM,6,26.5866,nan,nan,-94.6319,120.0000,135.5675,1
6.2668,veh2,CAM,7,27.0079,nan,nan,-94.2106,293.0000,155.9814,1
6.3026,veh2,CAM,9,31.0660,nan,nan,-90.1525,120.0000,168.5645,1
6.3401,veh2,CAM,3,43.6141,nan,nan,-77.6044,120.0000,35.8973,1
6.3528,veh2,CAM,6,26.9530,nan,nan,-94.2655,120.0000,130.0205,1
6.3568,veh2,CAM,5,30.0739,nan,nan,-96.7604,120.0000,74.9142,1
6.3913,veh2,CAM,4,28.7011,nan,nan,-94.5499,120.0000,54.5302,1
6.4026,veh2,CAM,9,31.0348,nan,nan,-90.1837,120.0000,169.1640,1
6.4401,veh2,CAM,3,44.0952,nan,nan,-77.1233,120.0000,33.9665,1
6.4528,veh2,CAM,6,27.0582,nan,nan,-94.1603,120.0000,128.4594,1
6.4746,veh2,CAM,8,26.3093,nan,nan,-96.3077,120.0000,177.8012,1
6.5026,veh2,CAM,9,31.0029,nan,nan,-90.2156,120.0000,169.7828,1
6.5418,veh2,CAM,3,43.7670,nan,nan,-77.4514,120.0000,32.0981,1
6.5528,veh2,CAM,6,27.1649,nan,nan,-94.0536,120.0000,126.8973,1
6.5568,veh2,CAM,5,21.2835,nan,nan,-122.1887,120.0000,71.0045,1
6.5673,veh2,CAM,7,27.2432,nan,nan,-93.9752,293.0000,151.8143,1
6.5913,veh2,CAM,4,17.6824,nan,nan,-100.3164,120.0000,50.6660,1
6.6001,veh2,CAM,9,30.1802,nan,nan,-91.0383,120.0000,170.3992,1
6.6418,veh2,CAM,3,44.2727,nan,nan,-76.9458,120.0000,30.2878,1
6.6528,veh2,CAM,6,27.2731,nan,nan,-93.9453,120.0000,125.3228,1
6.7001,veh2,CAM,9,30.1477,nan,nan,-91.0708,120.0000,171.0368,1
6.7418,veh2,CAM,3,44.7902,nan,nan,-76.4283,120.0000,28.5472,1
6.7528,veh2,CAM,6,27.3828,nan,nan,-93.8357,120.0000,123.7563,1
6.7568,veh2,CAM,5,28.5125,nan,nan,-87.4297,120.0000,67.2419,1
6.7746,veh2,CAM,8,20.9676,nan,nan,-93.2523,120.0000,177.1635,1
6.7913,veh2,CAM,4,19.4800,nan,nan,-98.1757,120.0000,46.9759,1
6.8418,veh2,CAM,3,45.3176,nan,nan,-75.9009,120.0000,26.8758,1
6.8528,veh2,CAM,6,27.4934,nan,nan,-93.7251,120.0000,122.1953,1
6.8673,veh2,CAM,7,27.4840,nan,nan,-93.7345,293.0000,147.6627,1
6.9353,veh2,CAM,6,27.5829,nan,nan,-93.6355,265.0000,120.6324,1
6.9418,veh2,CAM,3,45.8568,nan,nan,-75.3617,120.0000,25.2592,1
6.9523,veh2,CAM,5,22.4790,nan,nan,-94.2500,120.0000,63.6397,1
6.9746,veh2,CAM,8,21.3853,nan,nan,-96.7295,120.0000,176.1636,1
6.9913,veh2,CAM,4,18.1641,nan,nan,-93.0373,120.0000,43.4680,1
7.0001,veh2,CAM,9,30.0462,nan,nan,-91.1723,120.0000,173.0309,1
7.0353,veh2,CAM,6,27.6962,nan,nan,-93.5223,277.0000,119.0708,1
7.0418,veh2,CAM,3,46.4082,nan,nan,-74.8103,120.0000,23.7128,1
7.0746,veh2,CAM,8,17.8289,nan,nan,-93.6143,120.0000,175.4619,1
7.1418,veh2,CAM,3,46.9734,nan,nan,-74.2451,120.0000,22.2247,1
7.1523,veh2,CAM,5,21.3963,nan,nan,-95.0391,120.0000,60.1801,1
7.1673,veh2,CAM,7,27.7293,nan,nan,-93.4891,293.0000,143.5496,1
7.1746,veh2,CAM,8,28.7840,nan,nan,-94.3549,120.0000,174.7566,1
7.1913,veh2,CAM,4,23.6636,nan,nan,-97.8204,120.0000,40.1304,1
7.2418,veh2,CAM,3,47.4783,nan,nan,-73.7402,120.0000,20.9864,1
7.2736,veh2,CAM,8,27.1376,nan,nan,-95.5932,120.0000,174.0690,1
7.3056,veh2,CAM,9,30.9546,nan,nan,-90.2639,265.0000,175.1241,1
7.3353,veh2,CAM,6,28.0459,nan,nan,-93.1726,265.0000,114.3684,1
7.3418,veh2,CAM,3,48.1172,nan,nan,-73.1013,120.0000,19.5287,1
7.3523,veh2,CAM,5,29.1008,nan,nan,-109.1482,120.0000,56.8868,1
7.3736,veh2,CAM,8,25.4106,nan,nan,-100.0840,120.0000,173.4044,1
7.3933,veh2,CAM,4,22.7095,nan,nan,-93.7386,120.0000,36.9899,1
7.4418,veh2,CAM,3,48.8221,nan,nan,-72.3964,120.0000,18.0334,1
7.4673,veh2,CAM,7,27.9794,nan,nan,-93.2391,293.0000,139.4779,1
7.4736,veh2,CAM,8,22.6161,nan,nan,-96.1516,120.0000,172.7444,1
7.5523,veh2,CAM,5,28.9571,nan,nan,-94.1861,120.0000,53.7470,1
7.5736,veh2,CAM,8,25.6292,nan,nan,-105.3878,120.0000,172.1024,1
7.5933,veh2,CAM,4,28.0659,nan,nan,-93.1967,120.0000,34.0370,1
7.6056,veh2,CAM,9,30.8450,nan,nan,-90.3735,265.0000,177.3297,1
