time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
6.0668,veh9,CAM,7,24.4614,nan,nan,-103.3751,293.0000,82.2388,1
6.1401,veh9,CAM,3,22.0135,nan,nan,-99.2050,120.0000,137.3884,1
6.1568,veh9,CAM,5,20.8116,nan,nan,-100.4069,120.0000,113.5906,1
6.1668,veh9,CAM,7,20.2881,nan,nan,-106.0707,293.0000,81.6088,1
6.1756,veh9,CAM,8,42.4566,nan,nan,-78.7619,120.0000,44.3308,1
6.1803,veh9,CAM,4,31.4598,nan,nan,-89.7587,305.0000,125.1460,1
6.2401,veh9,CAM,3,21.9017,nan,nan,-99.3168,120.0000,139.1652,1
6.2406,veh9,CAM,2,30.9476,nan,nan,-90.2709,120.0000,168.3285,1
6.2528,veh9,CAM,6,32.7770,nan,nan,-88.4414,120.0000,92.2697,1
6.2668,veh9,CAM,7,16.0183,nan,nan,-96.9705,293.0000,81.0368,1
6.3401,veh9,CAM,3,21.7899,nan,nan,-99.4286,120.0000,140.9649,1
6.3528,veh9,CAM,6,32.6421,nan,nan,-88.5764,120.0000,93.8670,1
6.3568,veh9,CAM,5,20.6518,nan,nan,-100.5667,120.0000,115.6716,1
6.3913,veh9,CAM,4,31.9786,nan,nan,-89.2399,120.0000,128.1415,1
6.4401,veh9,CAM,3,21.6785,nan,nan,-99.5400,120.0000,142.7814,1
6.4528,veh9,CAM,6,32.6919,nan,nan,-88.5266,120.0000,93.3222,1
6.4746,veh9,CAM,8,42.5218,nan,nan,-78.6967,120.0000,44.0091,1
6.5406,veh9,CAM,2,30.8533,nan,nan,-90.3652,120.0000,170.1475,1
6.5418,veh9,CAM,3,22.4032,nan,nan,-98.8153,120.0000,144.6135,1
6.5528,veh9,CAM,6,32.7328,nan,nan,-88.4857,120.0000,92.8730,1
6.5568,veh9,CAM,5,20.4744,nan,nan,-100.7441,120.0000,118.0329,1
6.5673,veh9,CAM,7,18.2492,nan,nan,-96.9876,293.0000,79.7426,1
6.5913,veh9,CAM,4,31.7659,nan,nan,-89.4526,120.0000,131.3028,1
6.6418,veh9,CAM,3,22.2941,nan,nan,-98.9244,120.0000,146.4421,1
6.6528,veh9,CAM,6,32.7648,nan,nan,-88.4537,120.0000,92.5117,1
6.7418,veh9,CAM,3,22.1864,nan,nan,-99.0321,120.0000,148.2644,1
6.7528,veh9,CAM,6,32.7876,nan,nan,-88.4309,120.0000,92.2582,1
6.7568,veh9,CAM,5,20.2834,nan,nan,-100.9350,120.0000,120.6315,1
6.7746,veh9,CAM,8,42.5352,nan,nan,-78.6833,120.0000,43.9437,1
6.7913,veh9,CAM,4,31.5496,nan,nan,-89.6689,120.0000,134.6051,1
6.8418,veh9,CAM,3,22.0803,nan,nan,-99.1382,120.0000,150.0891,1
6.8436,veh9,CAM,2,30.5006,nan,nan,-90.7179,120.0000,172.0802,1
6.8528,veh9,CAM,6,32.8010,nan,nan,-88.4175,120.0000,92.1038,1
6.8673,veh9,CAM,7,14.6986,nan,nan,-100.1664,293.0000,79.2157,1
6.9353,veh9,CAM,6,32.8050,nan,nan,-88.4135,265.0000,92.1299,1
6.9418,veh9,CAM,3,21.9760,nan,nan,-99.2425,120.0000,151.9057,1
6.9523,veh9,CAM,5,20.9643,nan,nan,-100.2542,120.0000,123.4415,1
6.9746,veh9,CAM,8,42.5787,nan,nan,-78.6398,120.0000,43.7514,1
6.9913,veh9,CAM,4,31.3323,nan,nan,-89.8862,120.0000,138.0117,1
7.0353,veh9,CAM,6,32.8014,nan,nan,-88.4170,277.0000,92.1647,1
7.0418,veh9,CAM,3,21.8736,nan,nan,-99.3449,120.0000,153.7112,1
7.0746,veh9,CAM,8,42.6018,nan,nan,-78.6167,120.0000,43.6366,1
7.1418,veh9,CAM,3,21.7733,nan,nan,-99.4452,120.0000,155.5022,1
7.1436,veh9,CAM,2,30.3971,nan,nan,-90.8214,120.0000,174.1299,1
7.1523,veh9,CAM,5,20.7565,nan,nan,-100.4619,120.0000,126.4183,1
7.1673,veh9,CAM,7,19.1448,nan,nan,-99.1123,293.0000,79.4818,1
7.1746,veh9,CAM,8,42.6112,nan,nan,-78.6073,120.0000,43.5978,1
7.1913,veh9,CAM,4,31.1159,nan,nan,-90.1026,120.0000,141.4864,1
7.2418,veh9,CAM,3,21.7652,nan,nan,-99.4533,120.0000,155.6242,1
7.2736,veh9,CAM,8,42.9579,nan,nan,-78.2606,120.0000,43.6187,1
7.3353,veh9,CAM,6,32.7345,nan,nan,-88.4839,265.0000,92.8575,1
