time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
10.7531,veh4,CAM,5,1.1655,nan,nan,-77.0530,120.0000,12.3934,1
12.3521,veh4,CAM,5,3.5007,nan,nan,-74.7178,120.0000,10.5481,1
17.9526,veh4,CAM,6,0.9755,nan,nan,-77.2430,120.0000,41.9911,1
19.9496,veh4,CAM,6,1.9859,nan,nan,-76.2326,120.0000,26.3267,1
21.5358,veh4,CAM,6,8.8049,nan,nan,-69.4136,293.0000,13.6816,1
23.6718,veh4,CAM,7,6.1453,nan,nan,-72.0732,293.0000,16.4998,1
24.0718,veh4,CAM,7,8.4961,nan,nan,-69.7224,293.0000,12.6192,1
24.4723,veh4,CAM,7,6.4916,nan,nan,-71.7269,293.0000,8.4017,1
30.0088,veh4,CAM,9,8.6968,nan,nan,-69.5217,293.0000,11.5521,1
30.3911,veh4,CAM,9,10.7282,nan,nan,-67.4902,120.0000,7.4729,1
33.6803,veh4,CAM,10,8.0902,nan,nan,-64.7709,120.0000,4.1629,1
36.2763,veh4,CAM,11,6.7146,nan,nan,-71.5039,120.0000,7.7085,1
37.6886,veh4,CAM,11,3.5991,nan,nan,-74.6194,120.0000,11.4136,1
