time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
2.0436,veh3,CAM,6,41.1084,nan,nan,-80.1100,120.0000,69.3909,1
2.0681,veh3,CAM,7,39.5133,nan,nan,-81.7051,265.0000,86.6080,1
2.1368,veh3,CAM,2,44.3720,nan,nan,-76.8465,120.0000,32.4670,1
2.1523,veh3,CAM,5,14.0694,nan,nan,-107.1491,120.0000,44.4135,1
2.1681,veh3,CAM,7,39.5461,nan,nan,-81.6723,265.0000,86.2753,1
2.1863,veh3,CAM,4,36.3800,nan,nan,-84.8385,120.0000,24.7786,1
2.2436,veh3,CAM,6,41.0779,nan,nan,-80.1406,120.0000,69.6365,1
2.2523,veh3,CAM,5,14.1224,nan,nan,-107.0961,120.0000,44.1368,1
2.2681,veh3,CAM,7,39.5693,nan,nan,-81.6491,265.0000,86.0355,1
2.3368,veh3,CAM,2,44.2501,nan,nan,-76.9683,120.0000,32.9328,1
2.3436,veh3,CAM,6,41.0731,nan,nan,-80.1454,120.0000,69.6677,1
2.3523,veh3,CAM,5,14.1691,nan,nan,-107.0494,120.0000,43.9048,1
2.3681,veh3,CAM,7,39.5828,nan,nan,-81.6357,277.0000,85.8971,1
2.3863,veh3,CAM,4,36.4844,nan,nan,-84.7340,120.0000,24.4748,1
2.4436,veh3,CAM,6,41.0573,nan,nan,-80.1612,120.0000,69.7820,1
2.4523,veh3,CAM,5,14.2093,nan,nan,-107.0092,120.0000,43.6968,1
2.4681,veh3,CAM,7,39.5863,nan,nan,-81.6322,265.0000,85.8572,1
2.5368,veh3,CAM,2,44.1342,nan,nan,-77.0842,120.0000,33.3742,1
2.5436,veh3,CAM,6,41.0305,nan,nan,-80.1880,120.0000,69.9901,1
2.5523,veh3,CAM,5,14.2427,nan,nan,-106.9758,120.0000,43.5309,1
2.5681,veh3,CAM,7,39.5798,nan,nan,-81.6387,265.0000,85.9119,1
2.5863,veh3,CAM,4,36.4966,nan,nan,-84.7219,120.0000,24.4293,1
2.6436,veh3,CAM,6,40.9929,nan,nan,-80.2256,120.0000,70.2802,1
2.6523,veh3,CAM,5,14.2691,nan,nan,-106.9493,120.0000,43.3899,1
2.6681,veh3,CAM,7,39.5634,nan,nan,-81.6551,265.0000,86.0611,1
2.7368,veh3,CAM,2,44.0239,nan,nan,-77.1946,120.0000,33.8079,1
2.7436,veh3,CAM,6,40.9448,nan,nan,-80.2737,120.0000,70.6571,1
2.7523,veh3,CAM,5,14.2884,nan,nan,-106.9300,120.0000,43.2890,1
2.7863,veh3,CAM,4,36.4145,nan,nan,-84.8039,120.0000,24.6463,1
