time_s,vehicle_id,msg_type,tx_id,sinr_dB,snr_dB,rssi_dBm,rsrp_dBm,pkt_size,distance_m,rx_ok
10.9056,veh3,CAM,2,37.8558,nan,nan,-83.3627,120.0000,77.8316,1
10.9693,veh3,CAM,4,44.5945,nan,nan,-76.6240,120.0000,26.2526,1
11.0056,veh3,CAM,2,37.8558,nan,nan,-83.3627,120.0000,78.8824,1
11.0693,veh3,CAM,4,44.5945,nan,nan,-76.6240,120.0000,27.0285,1
11.1056,veh3,CAM,2,37.6077,nan,nan,-83.6108,120.0000,79.9710,1
11.1693,veh3,CAM,4,44.6061,nan,nan,-76.6124,120.0000,27.7458,1
11.2693,veh3,CAM,4,43.5954,nan,nan,-77.6231,120.0000,28.4347,1
11.3693,veh3,CAM,4,43.5954,nan,nan,-77.6231,120.0000,29.0700,1
11.4056,veh3,CAM,2,37.1845,nan,nan,-84.0340,120.0000,83.3813,1
11.4693,veh3,CAM,4,43.5954,nan,nan,-77.6231,120.0000,29.6499,1
11.5693,veh3,CAM,4,43.5954,nan,nan,-77.6231,120.0000,30.1841,1
11.6658,veh3,CAM,4,43.5954,nan,nan,-77.6231,120.0000,30.6390,1
11.7043,veh3,CAM,2,36.9234,nan,nan,-84.2950,120.0000,87.0693,1
11.7658,veh3,CAM,4,35.0324,nan,nan,-86.1860,120.0000,30.9177,1
11.8658,veh3,CAM,4,35.0324,nan,nan,-86.1860,120.0000,31.1558,1
11.9658,veh3,CAM,4,35.0324,nan,nan,-86.1860,120.0000,31.3205,1
12.0043,veh3,CAM,2,36.6614,nan,nan,-84.5571,120.0000,91.1623,1
12.0658,veh3,CAM,4,35.0324,nan,nan,-86.1860,120.0000,31.4324,1
12.1658,veh3,CAM,4,35.0324,nan,nan,-86.1861,120.0000,31.5260,1
12.2658,veh3,CAM,4,35.0324,nan,nan,-86.1861,120.0000,31.6338,1
12.3043,veh3,CAM,2,36.1413,nan,nan,-85.0772,120.0000,95.3808,1
12.3658,veh3,CAM,4,46.0754,nan,nan,-75.1431,120.0000,31.7344,1
12.6066,veh3,CAM,2,35.6267,nan,nan,-85.5917,120.0000,99.7267,1
12.9066,veh3,CAM,2,35.3729,nan,nan,-85.8456,120.0000,104.2944,1
13.0703,veh3,CAM,4,45.2845,nan,nan,-75.9340,120.0000,32.5076,1
13.2066,veh3,CAM,2,35.1220,nan,nan,-86.0964,120.0000,109.1661,1
13.2703,veh3,CAM,4,45.2845,nan,nan,-75.9340,120.0000,32.4470,1
13.4703,veh3,CAM,4,46.0084,nan,nan,-75.2101,120.0000,32.3492,1
13.4958,veh3,CAM,2,34.5451,nan,nan,-86.6734,120.0000,114.0455,1
13.6703,veh3,CAM,4,45.1157,nan,nan,-76.1028,120.0000,32.2592,1
13.6958,veh3,CAM,2,34.3117,nan,nan,-86.9067,120.0000,117.5170,1
13.7958,veh3,CAM,2,34.3117,nan,nan,-86.9067,120.0000,119.2258,1
13.8703,veh3,CAM,4,45.1157,nan,nan,-76.1028,120.0000,32.1730,1
13.8958,veh3,CAM,2,34.0987,nan,nan,-87.1197,120.0000,120.9212,1
13.9958,veh3,CAM,2,33.8788,nan,nan,-87.3397,120.0000,122.6051,1
14.0958,veh3,CAM,2,33.8788,nan,nan,-87.3397,120.0000,124.1661,1
14.1703,veh3,CAM,4,45.9103,nan,nan,-75.3082,120.0000,31.8924,1
14.1958,veh3,CAM,2,33.6589,nan,nan,-87.5596,120.0000,125.6287,1
14.2958,veh3,CAM,2,33.6589,nan,nan,-87.5596,120.0000,127.0821,1
14.3958,veh3,CAM,2,33.6589,nan,nan,-87.5596,120.0000,128.5031,1
14.4703,veh3,CAM,4,45.8519,nan,nan,-75.3666,120.0000,31.4577,1
14.4958,veh3,CAM,2,33.3178,nan,nan,-87.9007,120.0000,129.8895,1
14.5958,veh3,CAM,2,33.3178,nan,nan,-87.9007,120.0000,131.2593,1
14.6958,veh3,CAM,2,33.3178,nan,nan,-87.9007,120.0000,132.6018,1
14.7703,veh3,CAM,4,45.8519,nan,nan,-75.3666,120.0000,30.9915,1
14.7958,veh3,CAM,2,33.3178,nan,nan,-87.9007,120.0000,133.9185,1
14.8958,veh3,CAM,2,32.9934,nan,nan,-88.2251,120.0000,135.2076,1
15.0131,veh3,CAM,2,32.9934,nan,nan,-88.2251,120.0000,136.5471,1
15.0703,veh3,CAM,4,45.7824,nan,nan,-75.4361,120.0000,30.7068,1
15.1131,veh3,CAM,2,32.9934,nan,nan,-88.2251,120.0000,137.6181,1
15.2131,veh3,CAM,2,32.8710,nan,nan,-88.3475,120.0000,138.6602,1
15.3131,veh3,CAM,2,32.6998,nan,nan,-88.5187,120.0000,139.6801,1
15.3826,veh3,CAM,4,41.5248,nan,nan,-79.6937,120.0000,30.5582,1
15.4131,veh3,CAM,2,32.6998,nan,nan,-88.5187,120.0000,140.6580,1
15.5131,veh3,CAM,2,32.6998,nan,nan,-88.5187,120.0000,141.6726,1
15.6131,veh3,CAM,2,32.5753,nan,nan,-88.6432,120.0000,142.7048,1
15.6826,veh3,CAM,4,21.9480,nan,nan,-99.2705,120.0000,30.3830,1
15.7131,veh3,CAM,2,32.5753,nan,nan,-88.6432,120.0000,143.7450,1
15.9826,veh3,CAM,4,30.0104,nan,nan,-91.2081,120.0000,30.1900,1
16.1106,veh3,CAM,2,32.3064,nan,nan,-88.9121,120.0000,147.5019,1
16.2826,veh3,CAM,4,21.6748,nan,nan,-99.5437,243.0000,30.0058,1
16.3106,veh3,CAM,2,32.1058,nan,nan,-89.1127,120.0000,149.0552,1
16.5106,veh3,CAM,2,32.1058,nan,nan,-89.1127,120.0000,149.9089,1
16.5791,veh3,CAM,4,21.9651,nan,nan,-99.2534,120.0000,29.8273,1
16.6106,veh3,CAM,2,31.9946,nan,nan,-89.2239,120.0000,150.3540,1
16.7106,veh3,CAM,2,31.9946,nan,nan,-89.2239,120.0000,150.6408,1
16.8106,veh3,CAM,2,32.0797,nan,nan,-89.1388,120.0000,150.8410,1
16.8791,veh3,CAM,4,24.8727,nan,nan,-96.3458,120.0000,29.6537,1
16.9106,veh3,CAM,2,31.9629,nan,nan,-89.2556,120.0000,151.0498,1
17.0106,veh3,CAM,2,31.9629,nan,nan,-89.2556,120.0000,151.2771,1
17.1106,veh3,CAM,2,31.9629,nan,nan,-89.2556,120.0000,151.5173,1
17.1783,veh3,CAM,4,27.3733,nan,nan,-93.8452,120.0000,29.4695,1
17.1966,veh3,CAM,2,31.9629,nan,nan,-89.2556,120.0000,151.4302,1
17.2966,veh3,CAM,2,31.9731,nan,nan,-89.2453,120.0000,151.7340,1
17.3966,veh3,CAM,2,31.9731,nan,nan,-89.2453,120.0000,152.0307,1
17.4783,veh3,CAM,4,27.1460,nan,nan,-94.0725,120.0000,29.2927,1
17.4966,veh3,CAM,2,31.9731,nan,nan,-89.2453,120.0000,152.3143,1
17.5966,veh3,CAM,2,31.8417,nan,nan,-89.3768,120.0000,152.5955,1
17.6966,veh3,CAM,2,31.8417,nan,nan,-89.3768,120.0000,152.8871,1
17.7761,veh3,CAM,4,29.9223,nan,nan,-91.2962,120.0000,29.1155,1
17.7966,veh3,CAM,2,31.8706,nan,nan,-89.3479,120.0000,153.1638,1
17.8966,veh3,CAM,2,31.8706,nan,nan,-89.3479,120.0000,153.4508,1
17.9966,veh3,CAM,2,31.8706,nan,nan,-89.3479,120.0000,153.7219,1
18.0761,veh3,CAM,4,30.2583,nan,nan,-90.9601,120.0000,28.9253,1
18.1058,veh3,CAM,2,31.7495,nan,nan,-89.4689,120.0000,154.4436,1
18.2058,veh3,CAM,2,31.9026,nan,nan,-89.3159,120.0000,154.7185,1
18.3761,veh3,CAM,4,29.3947,nan,nan,-91.8238,120.0000,28.7587,1
18.4058,veh3,CAM,2,31.7758,nan,nan,-89.4427,120.0000,155.2386,1
18.4761,veh3,CAM,4,15.1324,nan,nan,-106.0860,120.0000,28.5272,1
18.5761,veh3,CAM,4,28.8747,nan,nan,-92.3437,120.0000,27.9132,1
18.6058,veh3,CAM,2,31.8022,nan,nan,-89.4163,120.0000,155.6808,1
18.6761,veh3,CAM,4,42.3696,nan,nan,-78.8489,120.0000,27.3430,1
18.7761,veh3,CAM,4,44.2286,nan,nan,-76.9899,120.0000,26.8412,1
18.8058,veh3,CAM,2,31.6723,nan,nan,-89.5462,120.0000,156.0609,1
18.8761,veh3,CAM,4,44.2286,nan,nan,-76.9899,120.0000,26.3974,1
18.9761,veh3,CAM,4,43.9905,nan,nan,-77.2280,120.0000,26.0162,1
19.0058,veh3,CAM,2,31.6923,nan,nan,-89.5262,120.0000,156.3723,1
19.0681,veh3,CAM,4,45.3106,nan,nan,-75.9079,120.0000,25.6922,1
19.2126,veh3,CAM,2,31.6923,nan,nan,-89.5262,120.0000,156.5960,1
19.3681,veh3,CAM,4,45.6548,nan,nan,-75.5637,120.0000,25.1603,1
19.4126,veh3,CAM,2,31.7011,nan,nan,-89.5174,120.0000,156.7638,1
19.6033,veh3,CAM,2,17.1255,nan,nan,-104.0930,120.0000,156.8456,1
19.6726,veh3,CAM,4,29.5952,nan,nan,-91.6233,120.0000,25.2884,1
19.8033,veh3,CAM,2,16.8718,nan,nan,-104.3467,120.0000,156.8613,1
19.9726,veh3,CAM,4,38.7309,nan,nan,-82.4876,120.0000,26.0502,1
20.0033,veh3,CAM,2,16.9228,nan,nan,-104.2957,120.0000,156.8059,1
20.2033,veh3,CAM,2,17.1938,nan,nan,-104.0247,120.0000,156.6655,1
20.2726,veh3,CAM,4,29.7112,nan,nan,-91.5073,120.0000,27.3949,1
20.3963,veh3,CAM,2,17.2215,nan,nan,-103.9970,120.0000,155.9698,1
20.5726,veh3,CAM,4,38.5613,nan,nan,-82.6572,120.0000,28.6530,1
20.5963,veh3,CAM,2,17.0158,nan,nan,-104.2027,120.0000,154.5090,1
20.7963,veh3,CAM,2,17.4006,nan,nan,-103.8179,120.0000,151.5462,1
20.8726,veh3,CAM,4,30.6393,nan,nan,-90.5792,120.0000,28.6586,1
20.9963,veh3,CAM,2,17.7241,nan,nan,-103.4944,120.0000,148.5240,1
21.1668,veh3,CAM,4,36.9872,nan,nan,-84.2313,120.0000,28.6607,1
21.1963,veh3,CAM,2,18.1453,nan,nan,-103.0732,120.0000,145.5086,1
21.4071,veh3,CAM,2,18.5747,nan,nan,-102.6438,120.0000,142.3768,1
21.4668,veh3,CAM,4,22.1475,nan,nan,-99.0709,120.0000,28.6630,1
21.7071,veh3,CAM,2,19.0122,nan,nan,-102.2063,120.0000,137.9115,1
21.7668,veh3,CAM,4,30.6704,nan,nan,-90.5481,120.0000,28.6641,1
