time_ms,rx_rnti,tx_rnti,frame,subframe,slot,sinr_db,sinr_min_db,mcs,tbler,tb_size_bytes,corrupt,ndi,tbler_sci2,sci2_corrupted,rb_start,rb_end,rb_assigned,bwp_id,rv,dst_l2_id,src_l2_id
2006.7321,2,1,200,6,2,33.3288,33.3288,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,1
2006.7321,3,1,200,6,2,32.7470,32.7470,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,1
2106.7321,1,2,210,6,2,33.3286,33.3286,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2106.7321,3,2,210,6,2,37.3290,37.3290,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2160.2321,1,3,216,0,0,33.4484,33.4484,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2160.2321,2,3,216,0,0,37.3024,37.3024,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2306.7321,3,2,230,6,2,4.3063,4.3063,14,1.0000,308,1,1,0.0000,0,20,29,10,0,0,255,2
2310.7321,3,2,231,0,2,37.4320,37.4320,14,0.0000,308,0,0,0.0000,0,20,29,10,0,2,255,2
2314.7321,1,2,231,4,2,34.3422,34.3422,14,0.0000,308,0,0,0.0000,0,10,19,10,0,1,255,2
2318.4821,2,1,231,8,1,34.3423,34.3423,14,0.0000,308,0,0,0.0000,0,30,39,10,0,1,255,1
2318.4821,3,1,231,8,1,33.1236,33.1236,14,0.0000,308,0,0,0.0000,0,30,39,10,0,1,255,1
2406.7321,1,2,240,6,2,35.4115,35.4115,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2406.7321,3,2,240,6,2,37.4047,37.4047,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2460.2321,1,3,246,0,0,33.3143,33.3143,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2460.2321,2,3,246,0,0,37.4047,37.4047,14,0.0000,308,0,1,0.0000,0,40,49,10,0,0,255,3
2506.7321,1,2,250,6,2,35.4115,35.4115,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2506.7321,3,2,250,6,2,37.5363,37.5363,14,0.0000,308,0,1,0.0000,0,20,29,10,0,0,255,2
2606.7321,3,2,260,6,2,3.9237,3.9237,14,1.0000,308,1,1,0.0000,0,20,29,10,0,0,255,2
2610.7321,3,2,261,0,2,37.5363,37.5363,14,0.0000,308,0,0,0.0000,0,20,29,10,0,2,255,2
2614.7321,1,2,261,4,2,36.2445,36.2445,14,0.0000,308,0,0,0.0000,0,10,19,10,0,1,255,2
2618.4821,2,1,261,8,1,36.2446,36.2446,14,0.0000,308,0,0,0.0000,0,30,39,10,0,1,255,1
2618.4821,3,1,261,8,1,33.6107,33.6107,14,0.0000,308,0,0,0.0000,0,30,39,10,0,1,255,1
