node_id,prr
1,0.647059
2,0.839713
3,0.638655
4,0.621212
5,0.724432
6,0.675
7,1
8,0.988571
9,0.983957
10,1
11,1
12,0.988005
13,0.992063
14,1
15,0.987013
16,1
17,1
18,1
19,0.971429
20,0.988095
