tx_id,rx_id,distance,rssi,snr
19,4,272.361,-99.8529,21.3655
19,5,205.452,-95.8615,25.357
19,6,186.542,-96.7996,24.4189
19,7,24.7635,-73.2554,47.9631
19,8,100.987,-94.034,27.1845
19,9,266.196,-92.3816,28.8368
19,10,272.03,-100.354,20.8642
19,11,224.557,-92.7412,28.4773
19,12,204.808,-91.3737,29.8448
19,13,14.9782,-68.5339,52.6846
19,14,95.8254,-101.993,19.2259
19,15,252.848,-94.5304,26.6881
19,16,265.618,-100.85,20.3684
19,17,240.406,-93.7191,27.4994
19,18,216.904,-103.368,20.1316
19,20,94.6277,-105.017,16.201
7,9,242.726,-122.152,1.80772
10,1,243.384,-103.311,17.9075
10,2,24.8331,-80.9447,40.2738
10,3,229.875,-101.609,16.4135
10,4,5.62555,-76.7154,44.5031
10,5,85.5544,-93.6085,27.61
10,6,103.129,-85.3984,35.8201
10,7,247.449,-106.645,14.5736
10,8,233.981,-96.6595,23.1104
10,9,62.7668,-82.0148,39.2037
10,11,64.712,-84.1915,37.027
10,12,90.9653,-101.521,18.8614
10,13,257.592,-108.245,15.4405
10,14,244.674,-108.859,18.8169
10,15,67.7607,-88.1531,33.0653
10,16,7.1006,-74.8422,46.3762
10,17,48.4522,-84.2036,37.0149
10,18,86.7297,-91.9024,29.3161
10,19,271.826,-100.352,20.8663
10,20,259.47,-96.3499,24.8686
17,1,213.246,-96.4857,24.7328
17,2,70.9832,-88.2322,32.9863
17,3,186.657,-96.667,24.5515
17,4,52.7404,-87.5032,33.7152
17,5,39.71,-76.2371,44.9814
17,6,99.4832,-85.9917,35.2268
17,7,216.472,-93.8956,27.3228
17,8,190.384,-97.6879,23.5306
17,9,97.9958,-85.7414,35.4771
17,10,48.6521,-84.2287,36.9898
17,11,17.8416,-77.9748,43.2436
17,12,95.4362,-86.0635,35.155
17,14,201.453,-93.6459,27.5726
17,15,96.7117,-95.2507,25.9678
17,16,41.8448,-90.7982,27.7806
17,18,97.6382,-87.2684,33.9501
17,19,239.889,-93.6993,27.5191
17,20,216.266,-94.122,27.0965
17,13,226.411,-106.686,14.5847
13,15,238.977,-106.26,6.67861
2,1,250.189,-92.7772,28.4413
2,3,244.916,-110.017,19.0154
2,4,18.4948,-70.0684,51.1501
2,5,105.324,-86.0525,35.166
2,6,101.784,-86.0673,35.1511
2,8,248.935,-99.3944,21.8241
2,9,42.9329,-93.695,27.5235
2,10,23.6947,-80.5822,40.6363
2,11,85.7161,-84.8727,36.3458
2,12,86.531,-84.4893,36.7292
2,13,264.735,-99.2627,21.9558
2,14,259.568,-91.02,30.1985
2,15,51.3291,-79.4047,41.8138
2,16,29.1347,-89.005,32.9048
2,17,70.8002,-88.2015,33.017
2,18,79.3123,-82.4002,38.8183
2,19,279.353,-94.1487,27.0698
2,20,274.309,-94.5194,26.6991
11,1,197.371,-107.315,13.9031
11,2,85.5814,-84.8677,36.3507
11,3,168.283,-94.855,28.444
11,4,68.9326,-85.2022,36.0162
11,5,22.0212,-72.4379,48.7806
11,6,95.5097,-84.2299,36.9886
11,7,200.226,-101.994,19.2244
11,8,171.705,-103.368,16.3353
11,9,108.25,-90.2377,30.9808
11,10,65.5201,-84.2935,36.9249
11,12,94.7981,-96.8452,26.6295
11,13,210.254,-102.003,19.4622
11,14,183.034,-91.4006,29.8179
11,15,104.823,-90.5288,30.6897
11,16,58.3896,-85.1629,36.0555
11,17,17.6946,-77.9944,43.2241
11,18,99.2101,-90.05,31.1685
11,19,223.441,-92.6964,28.5221
11,20,197.886,-91.5014,29.7171
2,7,254.392,-111.978,6.28903
4,1,243.04,-107.045,8.89707
4,2,18.1258,-69.8527,51.3658
4,3,231.765,-100.7,15.4522
4,5,89.5944,-95.1278,26.0907
4,6,101.155,-84.2333,36.9852
4,7,246.975,-95.6996,19.0242
4,8,235.497,-101.635,23.2935
4,9,56.9221,-79.7856,41.4329
4,10,5.39873,-76.6996,44.5189
4,11,69.0823,-85.2167,36.0018
4,12,88.1687,-91.5734,30.2914
4,13,257.291,-103.024,18.1949
4,14,246.48,-106.587,22.2408
4,15,62.195,-94.405,26.8135
4,16,10.7713,-77.5044,43.714
4,17,53.2771,-87.5897,33.6288
4,18,83.3174,-97.6821,23.5364
4,19,271.687,-99.8327,21.3858
4,20,261.317,-102.38,18.8388
5,11,20.6264,-72.3891,48.8294
18,1,185.492,-91.4722,29.7463
18,2,79.6662,-82.4402,38.7783
18,3,205.552,-102.942,18.2762
18,4,83.2291,-97.6821,23.5364
18,5,105.36,-87.455,33.7635
18,6,30.6024,-73.9661,47.2524
18,7,190.503,-90.8255,30.393
18,8,209.993,-96.9304,22.3089
18,9,51.7093,-78.6299,42.5886
18,10,86.943,-91.9264,29.2921
18,11,99.2138,-90.0501,31.1684
18,12,12.4138,-70.5102,50.7083
18,14,218.963,-101.688,19.53
18,15,37.9787,-81.4943,39.7242
18,16,84.613,-92.6641,28.5544
18,17,97.6243,-87.2684,33.9501
18,19,215.459,-100.532,23.5799
18,20,232.646,-92.273,28.9455
15,1,222.946,-92.1868,29.0317
15,2,51.5249,-79.44,41.7785
15,3,236.667,-105.665,15.5532
