node_id,prr
1,0.818182
2,0.904525
3,0.796176
4,0.841167
5,0.863279
6,0.794484
7,0.978896
8,0.986529
9,0.998316
10,0.996078
11,1
12,0.989474
13,0.982376
14,0.993921
15,0.994573
16,0.985537
17,0.994548
18,0.987501
19,0.952381
20,1
