node_id,prr
1,0.79068
2,0.892412
3,0.748596
4,0.816948
5,0.804098
6,0.808353
7,0.977379
8,0.936195
9,0.893693
10,0.941813
11,0.977439
12,0.907247
13,0.925501
14,0.957768
15,0.918598
16,0.91675
17,0.968448
18,0.988432
19,0.857251
20,0.882228
