case,run_dir,total_cam_drop_app_events,total_cam_rx_ok_events,overall_cam_drop_ratio,total_control_actions,first_control_action_s,p90_control_action_s,min_gap_m,min_ttc_s,risky_gap_events,risky_ttc_events,collisions_count,avg_prr,avg_latency_ms,incident_time_s,incident_duration_s
baseline,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke3-181624/baseline,0.0,3447.0,0.0,0.0,,,6.01,7.172,0.0,0.0,0.0,0.831655,11.0709,2.0,3.0
lossy,/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-baseline-lossy-smoke3-181624/lossy,2729.0,718.0,0.7917029300841312,0.0,,,6.01,7.172,0.0,0.0,0.0,0.831655,11.0709,2.0,3.0
