time_s,cam_drop_events,cam_rx_ok_events,cam_drop_ratio,control_actions_per_s,min_gap_m,min_ttc_s,collisions_per_s,collisions_cum,case
22,0.0,223.0,0.0,21.0,5.25,8.440273037542662,0.0,0.0,baseline_phy0
23,0.0,279.0,0.0,35.0,6.109999999999999,25.666666666666664,0.0,0.0,baseline_phy0
24,0.0,246.0,0.0,33.0,6.169999999999995,692.9999999999902,0.0,0.0,baseline_phy0
25,0.0,259.0,0.0,35.0,6.169999999999995,1155.0000000000248,0.0,0.0,baseline_phy0
26,0.0,219.0,0.0,35.0,6.169999999999988,3374.499999999922,0.0,0.0,baseline_phy0
27,0.0,258.0,0.0,35.0,6.169999999999988,865.99999999998,0.0,0.0,baseline_phy0
28,0.0,339.0,0.0,40.0,6.169999999999988,,0.0,0.0,baseline_phy0
29,0.0,269.0,0.0,40.0,6.169999999999988,,0.0,0.0,baseline_phy0
0,0.0,0.0,,0.0,13.999999999999998,,0.0,0.0,lossy_phy0p95
1,0.0,0.0,,0.0,5.44,,0.0,0.0,lossy_phy0p95
2,513.0,28.0,0.9482439926062847,1.0,8.64,,0.0,0.0,lossy_phy0p95
3,658.0,29.0,0.9577874818049491,2.0,11.839999999999998,77.3064516129031,0.0,0.0,lossy_phy0p95
4,660.0,31.0,0.9551374819102749,0.0,15.04,12.357142857142856,0.0,0.0,lossy_phy0p95
5,623.0,46.0,0.9312406576980568,7.0,15.659999999999997,4.769230769230769,0.0,0.0,lossy_phy0p95
6,605.0,24.0,0.9618441971383148,1.0,16.320000000000007,4.361507128309572,0.0,0.0,lossy_phy0p95
7,491.0,23.0,0.9552529182879378,0.0,15.52000000000001,3.984633569739953,0.0,0.0,lossy_phy0p95
8,434.0,30.0,0.9353448275862069,0.0,15.179999999999993,3.654929577464789,0.0,0.0,lossy_phy0p95
9,493.0,25.0,0.9517374517374517,1.0,13.73,3.383986928104575,0.0,0.0,lossy_phy0p95
10,384.0,24.0,0.9411764705882353,1.0,12.800000000000004,3.2087682672233817,0.0,0.0,lossy_phy0p95
11,365.0,23.0,0.9407216494845361,1.0,10.72,3.196125907990316,0.0,0.0,lossy_phy0p95
12,317.0,19.0,0.9434523809523809,0.0,8.260000000000005,3.422297297297296,0.0,0.0,lossy_phy0p95
13,307.0,16.0,0.9504643962848297,1.0,7.170000000000002,3.212201591511936,0.0,0.0,lossy_phy0p95
14,298.0,19.0,0.9400630914826499,0.0,6.779999999999994,2.897097625329814,0.0,0.0,lossy_phy0p95
15,332.0,23.0,0.9352112676056338,0.0,6.630000000000003,3.143426294820717,0.0,0.0,lossy_phy0p95
16,284.0,13.0,0.9562289562289562,0.0,5.460000000000001,3.8682634730538927,0.0,0.0,lossy_phy0p95
17,229.0,15.0,0.9385245901639344,0.0,5.219999999999999,8.142399999999999,0.0,0.0,lossy_phy0p95
18,226.0,11.0,0.9535864978902954,0.0,5.210000000000001,8.015948963317383,0.0,0.0,lossy_phy0p95
19,235.0,13.0,0.9475806451612904,2.0,5.209999999999994,9.914691943127966,0.0,0.0,lossy_phy0p95
20,256.0,11.0,0.9588014981273408,1.0,5.210000000000001,3.913043478260872,0.0,0.0,lossy_phy0p95
21,311.0,13.0,0.9598765432098766,0.0,6.1000000000000085,3.411371237458195,0.0,0.0,lossy_phy0p95
22,302.0,13.0,0.9587301587301588,0.0,6.049999999999997,4.491712707182318,0.0,0.0,lossy_phy0p95
23,293.0,15.0,0.9512987012987013,1.0,6.019999999999996,5.169421487603308,0.0,0.0,lossy_phy0p95
24,279.0,12.0,0.9587628865979382,2.0,5.990000000000009,5.155216284987283,0.0,0.0,lossy_phy0p95
25,355.0,17.0,0.9543010752688172,4.0,5.989999999999995,5.170270270270277,0.0,0.0,lossy_phy0p95
26,329.0,18.0,0.9481268011527377,2.0,5.989999999999995,5.294314381270907,0.0,0.0,lossy_phy0p95
27,335.0,13.0,0.9626436781609196,1.0,5.989999999999995,57.22127659574468,0.0,0.0,lossy_phy0p95
28,353.0,13.0,0.9644808743169399,1.0,7.579999999999998,17.948611111111116,0.0,0.0,lossy_phy0p95
29,351.0,17.0,0.9538043478260869,3.0,7.579999999999998,10.699107142857144,0.0,0.0,lossy_phy0p95
