timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,dstL2Id,pscchRbStart,pscchRbLen,pscchMcs,avrgSinr,minSinr,tbler,corrupt,psschStartSbCh,psschLenSbCh,maxNumPerReserve,rsvpMs,SEED,RUN
2111.517856,0,2,0,211,1,2,1,255,0,10,0,133141.1444981433,111766.78263732001,0,0,0,1,3,100,1,1
2116.767856,0,2,0,211,6,3,1,255,0,10,0,133141.1444981433,111766.78263732001,0,0,0,1,3,100,1,1
2211.517856,0,2,0,221,1,2,1,255,0,10,0,133141.1444981433,111766.78263732001,0,0,0,1,3,100,1,1
2216.767856,0,2,0,221,6,3,1,255,0,10,0,180875.97068841336,173832.13099984167,0,0,0,1,3,100,1,1
2311.517856,0,2,0,231,1,2,1,255,0,10,0,180875.97068841336,173832.13099984167,0,0,0,1,3,100,1,1
2316.767856,0,2,0,231,6,3,1,255,0,10,0,83381.87019536302,77741.74378799147,0,0,0,1,3,100,1,1
2411.517856,0,2,0,241,1,2,1,255,0,10,0,83381.87019536302,77741.74378799147,0,0,0,1,3,100,1,1
2416.767856,0,2,0,241,6,3,1,255,0,10,0,95344.24798401906,80620.28034575956,0,0,0,1,3,100,1,1
2511.5178560000004,0,2,0,251,1,2,1,255,0,10,0,95344.24798401906,80620.28034575956,0,0,0,1,3,100,1,1
2516.767856,0,2,0,251,6,3,1,255,0,10,0,104067.93847144587,101990.27496360992,0,0,0,1,3,100,1,1
2611.517856,0,2,0,261,1,2,1,255,0,10,0,104067.93847144587,101990.27496360992,0,0,0,1,3,100,1,1
2616.767856,0,2,0,261,6,3,1,255,0,10,0,104067.93847144587,101990.27496360992,0,0,0,1,3,100,1,1
2711.517856,0,2,0,271,1,2,1,255,0,10,0,174768.80971021688,173268.32121600123,0,0,0,1,3,100,1,1
2716.767856,0,2,0,271,6,3,1,255,0,10,0,174768.80971021688,173268.32121600123,0,0,0,1,3,100,1,1
2811.517856,0,2,0,281,1,2,1,255,0,10,0,19109.212247296393,17627.255310667362,0,0,0,1,3,100,1,1
2816.767856,0,2,0,281,6,3,1,255,0,10,0,19109.212247296393,17627.255310667362,0,0,0,1,3,100,1,1
2911.517856,0,2,0,291,1,2,1,255,0,10,0,30482.04590710462,26802.85302986185,0,0,0,1,3,100,1,1
