timeSec,txRx,nodeId,imsi,pktSizeBytes,srcIp,srcPort,dstIp,dstPort,pktSeqNum,SEED,RUN
2.11,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,0,1,1
2.11183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,0,1,1
2.21,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,1,1,1
2.21183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,1,1,1
2.31,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,2,1,1
2.31183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,2,1,1
2.41,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,3,1,1
2.41183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,3,1,1
2.51,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,4,1,1
2.51183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,4,1,1
2.61,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,5,1,1
2.61183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,5,1,1
2.71,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,6,1,1
2.71183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,6,1,1
2.81,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,7,1,1
2.81183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,7,1,1
2.91,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,8,1,1
2.91183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,8,1,1
3.01,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,9,1,1
3.01183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,9,1,1
3.11,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,10,1,1
3.11183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,10,1,1
3.21,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,11,1,1
3.21183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,11,1,1
3.31,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,12,1,1
3.31183214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,12,1,1
3.41,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,13,1,1
3.41958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,13,1,1
3.51,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,14,1,1
3.51958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,14,1,1
3.61,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,15,1,1
3.61958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,15,1,1
3.71,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,16,1,1
3.71958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,16,1,1
3.81,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,17,1,1
3.81958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,17,1,1
3.91,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,18,1,1
3.91958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,18,1,1
4.01,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,19,1,1
4.01958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,19,1,1
4.11,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,20,1,1
4.11958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,20,1,1
4.21,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,21,1,1
4.21958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,21,1,1
