timeSec,txRx,nodeId,imsi,pktSizeBytes,srcIp,srcPort,dstIp,dstPort,pktSeqNum,SEED,RUN
4.31,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,22,1,1
4.31958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,22,1,1
4.41,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,23,1,1
4.41958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,23,1,1
4.51,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,24,1,1
4.51958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,24,1,1
4.61,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,25,1,1
4.61958214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,25,1,1
4.71,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,26,1,1
4.72633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,26,1,1
4.81,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,27,1,1
4.82633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,27,1,1
4.91,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,28,1,1
4.92633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,28,1,1
5.01,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,29,1,1
5.02633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,29,1,1
5.11,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,30,1,1
5.12633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,30,1,1
5.21,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,31,1,1
5.22633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,31,1,1
5.31,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,32,1,1
5.32633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,32,1,1
5.41,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,33,1,1
5.42633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,33,1,1
5.51,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,34,1,1
5.52633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,34,1,1
5.61,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,35,1,1
5.62633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,35,1,1
5.71,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,36,1,1
5.72633214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,36,1,1
5.81,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,37,1,1
5.83508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,37,1,1
5.91,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,38,1,1
5.93508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,38,1,1
6.01,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,39,1,1
6.03508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,39,1,1
6.11,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,40,1,1
6.13508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,40,1,1
6.21,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,41,1,1
6.23508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,41,1,1
6.31,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,42,1,1
6.33508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,42,1,1
6.41,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,43,1,1
6.43508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,43,1,1
6.51,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,44,1,1
6.53508214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,44,1,1
6.61,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,45,1,1
6.64208214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,45,1,1
6.71,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,46,1,1
6.74208214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,46,1,1
6.81,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,47,1,1
6.84208214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,47,1,1
6.91,tx,0,1,200,7.0.0.2,49153,225.0.0.0,8000,48,1,1
6.94208214,rx,1,2,200,7.0.0.2,49153,7.0.0.3,8000,48,1,1
