timeMs,imsi,rnti,frame,subFrame,slot,symStart,symLen,rbStart,rbLen,priority,mcs,tbSize,rsvpMs,totSbCh,sbChStart,sbChLen,maxNumPerReserve,gapReTx1,gapReTx2,SEED,RUN
2111.5,1,1,211,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2116.75,1,1,211,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2211.5,1,1,221,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2216.75,1,1,221,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2311.5,1,1,231,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2316.75,1,1,231,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2411.5,1,1,241,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2416.75,1,1,241,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2511.5,1,1,251,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2516.75,1,1,251,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2611.5,1,1,261,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2616.75,1,1,261,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2711.5,1,1,271,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2716.75,1,1,271,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2811.5,1,1,281,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2816.75,1,1,281,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
2911.5,1,1,291,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
2916.75,1,1,291,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
3011.5,1,1,301,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
3016.75,1,1,301,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
3111.5,1,1,311,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
3116.75,1,1,311,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
3211.5,1,1,321,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
3216.75,1,1,321,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
3311.5,1,1,331,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,11,12,1,1
3316.75,1,1,331,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
3419.25,1,1,341,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
3421.75,1,1,342,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
3519.25,1,1,351,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
