timeMs,imsi,rnti,frame,subFrame,slot,symStart,symLen,rbStart,rbLen,priority,mcs,tbSize,rsvpMs,totSbCh,sbChStart,sbChLen,maxNumPerReserve,gapReTx1,gapReTx2,SEED,RUN
3521.75,1,1,352,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
3619.25,1,1,361,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
3621.75,1,1,362,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
3719.25,1,1,371,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
3721.75,1,1,372,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
3819.25,1,1,381,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
3821.75,1,1,382,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
3919.25,1,1,391,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
3921.75,1,1,392,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4019.2500000000005,1,1,401,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4021.75,1,1,402,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4119.25,1,1,411,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4121.75,1,1,412,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4219.25,1,1,421,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4221.75,1,1,422,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4319.25,1,1,431,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4321.75,1,1,432,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4419.25,1,1,441,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4421.75,1,1,442,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4519.25,1,1,451,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4521.75,1,1,452,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4619.25,1,1,461,9,1,0,1,0,10,7,14,1774,100,1,0,1,3,2,7,1,1
4621.75,1,1,462,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,10,255,1,1
4726.0,1,1,472,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
4731.5,1,1,473,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
4826.0,1,1,482,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
4831.5,1,1,483,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
4926.0,1,1,492,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
4931.5,1,1,493,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5026.0,1,1,502,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5031.5,1,1,503,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5126.0,1,1,512,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5131.5,1,1,513,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5226.0,1,1,522,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5231.5,1,1,523,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5326.0,1,1,532,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5331.5,1,1,533,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5426.0,1,1,542,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5431.5,1,1,543,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5526.0,1,1,552,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5531.5,1,1,553,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5626.0,1,1,562,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5631.5,1,1,563,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5726.0,1,1,572,6,0,0,1,0,10,7,14,1774,100,1,0,1,3,2,14,1,1
5731.5,1,1,573,1,2,0,1,0,10,7,14,1774,100,1,0,1,3,2,255,1,1
5834.75,1,1,583,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
5836.75,1,1,583,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
5934.75,1,1,593,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
5936.75,1,1,593,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6034.75,1,1,603,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6036.75,1,1,603,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6134.75,1,1,613,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6136.75,1,1,613,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6234.75,1,1,623,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6236.75,1,1,623,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6334.75,1,1,633,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6336.75,1,1,633,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6434.75,1,1,643,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6436.75,1,1,643,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6534.75,1,1,653,4,3,0,1,0,10,7,14,1774,100,1,0,1,3,5,6,1,1
6536.75,1,1,653,6,3,0,1,0,10,7,14,1774,100,1,0,1,3,12,255,1,1
6641.75,1,1,664,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,10,1,1
6646.5,1,1,664,6,2,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
6741.75,1,1,674,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,10,1,1
6746.5,1,1,674,6,2,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
6841.75,1,1,684,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,10,1,1
6846.5,1,1,684,6,2,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
6941.75,1,1,694,1,3,0,1,0,10,7,14,1774,100,1,0,1,3,1,10,1,1
6946.5,1,1,694,6,2,0,1,0,10,7,14,1774,100,1,0,1,3,1,255,1,1
