timeMs,cellId,rnti,bwpId,frame,subFrame,slot,txRnti,srcL2Id,dstL2Id,psschRbStart,psschRbLen,psschSymStart,psschSymLen,psschMcs,ndi,rv,tbSizeBytes,avrgSinr,minSinr,psschTbler,psschCorrupt,sci2Tbler,sci2Corrupt,SEED,RUN
2111.73214,0,2,0,211,1,2,1,1,255,0,50,1,12,14,1,0,1774,21686.95871585739,15363.24481851299,0,0,0,0,1,1
2211.73214,0,2,0,221,1,2,1,1,255,0,50,1,12,14,1,0,1774,36880.07740885926,26319.972898155505,0,0,0,0,1,1
2311.73214,0,2,0,231,1,2,1,1,255,0,50,1,12,14,1,0,1774,36880.07740885926,26319.972898155505,0,0,0,0,1,1
2411.7321399999996,0,2,0,241,1,2,1,1,255,0,50,1,12,14,1,0,1774,16755.158384181348,11290.586499086696,0,0,0,0,1,1
2511.73214,0,2,0,251,1,2,1,1,255,0,50,1,12,14,1,0,1774,21150.99897097951,14978.479003263306,0,0,0,0,1,1
2611.73214,0,2,0,261,1,2,1,1,255,0,50,1,12,14,1,0,1774,22518.334698871466,19831.139729527527,0,0,0,0,1,1
2711.73214,0,2,0,271,1,2,1,1,255,0,50,1,12,14,1,0,1774,33171.596099561015,30798.20178542446,0,0,0,0,1,1
2811.73214,0,2,0,281,1,2,1,1,255,0,50,1,12,14,1,0,1774,6433.375769876713,3525.4510621334725,0,0,0,0,1,1
2911.7321399999996,0,2,0,291,1,2,1,1,255,0,50,1,12,14,1,0,1774,19713.337578797087,5360.57060597237,0,0,0,0,1,1
3011.73214,0,2,0,301,1,2,1,1,255,0,50,1,12,14,1,0,1774,21653.394201979623,17523.759483095833,0,0,0,0,1,1
3111.73214,0,2,0,311,1,2,1,1,255,0,50,1,12,14,1,0,1774,21653.394201979623,17523.759483095833,0,0,0,0,1,1
3211.73214,0,2,0,321,1,2,1,1,255,0,50,1,12,14,1,0,1774,12667.269537313,7330.104029212755,0,0,0,0,1,1
3311.73214,0,2,0,331,1,2,1,1,255,0,50,1,12,14,1,0,1774,14165.27770350675,8265.042343233832,0,0,0,0,1,1
3419.48214,0,2,0,341,9,1,1,1,255,0,50,1,12,14,1,0,1774,28387.893513081548,21050.324405028463,0,0,0,0,1,1
3519.48214,0,2,0,351,9,1,1,1,255,0,50,1,12,14,1,0,1774,15111.118717253144,14417.31658065529,0,0,0,0,1,1
3619.48214,0,2,0,361,9,1,1,1,255,0,50,1,12,14,1,0,1774,15111.118717253144,14417.31658065529,0,0,0,0,1,1
